Branch,Reviews,Restaurant
Geetham Veg Restaurant,A place to go for quality food and great taste. The wait could be long during dinner times. Patrons need to scan a QR code to get a token number and wait in the queue outside the resturant. Patrons need to key in the number of pax and if …,Geetham
Geetham Veg Restaurant,"The meals was very satisfying. All the vegetables were cooked perfectly, and the overall taste was well balanced.
The sambar was especially outstanding and truly flavorful. Highly recommended …",Geetham
Geetham Veg Restaurant,"I recently visited Githam Restaurant in Chennai, and it was quite an experience! The place is extremely crowded, which clearly shows how popular it is. It’s a pure vegetarian restaurant, especially famous for its authentic South Indian …",Geetham
Geetham Veg Restaurant,"The food is degrading from before.
Ordered mysore masala - masala combination is raw and bitter. Restaurant replaced with Satha Rava Dosai but served Rava dosa filled with ghee and it’s again not …",Geetham
Geetham Veg Restaurant,"Geetham Food maintains good standards when it comes to food quality, holding its own among similar vegetarian restaurant chains. …",Geetham
Geetham Veg Restaurant,I came here with family for a quick tea time. The service was good. The staffs were friendly and helpful. The food was also good at a reasonable price. Probably they need to focus more on the cleanliness.,Geetham
Geetham Veg Restaurant,"Quite attracted by the heavy decorative colorful lights, we stopped over for dinner. Luckily, we were quite early and got our table almost immediately. Otherwise, this place attracts so many people and one has to wait on a long Q to get a …",Geetham
Geetham Veg Restaurant,"This place doesn't worth the hype of reviews. While the service here is quick , the taste of the food is average and the high price tag doesn't justify the Tate or the atmosphere. Ambience is noisy and lacks the fine edge. Overall a good place for quick bite if you are hungry. However do not expect much",Geetham
Geetham Veg Restaurant,"Best vegetarian restaurant chain with AC. It can be very crowded during peak hours with minimum waiting for 5 minutes, for a single person. You may have to join strangers of the seating is full, so be prepared to share some space! …",Geetham
Geetham Veg Restaurant,"Place is very well visible from a distance or while you are driving. Road side parking. I ordered Idly, Ghee Paper Dosa & Sambar vadai. First thing they served me 2 vadai instead of 1. Food delivery was instant. I liked the sambar vadai and Ghee Paper Dosai.",Geetham
Geetham Veg Restaurant,"After shopping at t nagar deceided to have a evening snacks at geetham restaurant.We had a vara, bonda and Chettinad mini tiffin.The Chettinad mini tiffin was good.And we had a coffee which was very average this time.I didn't expect an …",Geetham
Geetham Veg Restaurant,This was recommended to me by a local and reviews also back up that claim. Must visit. …,Geetham
Geetham Veg Restaurant,Please be aware of the pricing. Have attached the bill for reference and two sweet lime juices costed 360 rupees which was lesser than the 2 set of poori. 1 kg fruit itself will cost 60 rupees only. I was so shocked to see this utter …,Geetham
Geetham Veg Restaurant,"It was worth trying at this Geetham outlet. The wait time is something you should plan and consider while visiting.
The food was good. Service was good as well. Worthy spend.",Geetham
Geetham Veg Restaurant,Horrendous experience. Please do not visit if you are walking in as a single customer. They have a funny system where you have to see your waiting number to get a seat. People who want 2 seats and 4 seats gets preferred. You may have to …,Geetham
Geetham Veg Restaurant,"Place is always crowded and staffs are working to manage the crowd. But inefficient waiters and irresponsible staff make many customer get agitated. Communication towards the customer is very bad and awful. We went today for dinner, 16th …",Geetham
Geetham Veg Restaurant,This place is super crowded always so much so that they have a token system always and they also serve juice to the people who wait. …,Geetham
Geetham Veg Restaurant,"Hotel Ambience offers a pleasant dining experience. The service was good and quick. Tried their mini tiffin — it’s definitely value for money with a decent variety. The taste was okay overall, and the rava dosa was just fine. A good option for a simple, budget-friendly meal",Geetham
Geetham Veg Restaurant,"Finding a quality restaurant in the busy Koyambedu area is one thing, but finding one with ample parking is a game-changer. They have dedicated space for both cars and two-wheelers, making it incredibly convenient for locals and travelers …",Geetham
Geetham Veg Restaurant,Service is very poor. We asked to filter the coffee and she brought the same coffee. I asked for sweet the waiter told me something coconut milk turned to be rice Kanji. I noticed he was promoting it to other customer as well. Never coming back there are other good restaurant nearby. With great good.,Geetham
Geetham Veg Restaurant,"After seeing hype in insta and reels recently, We ordered for onam sadhya one day in advance as dine in slot completed two days before we opted for takeaway at Anna nagar outlet. Totally disappointed with food they …",Geetham
Geetham Veg Restaurant,"Amazing place for pure veg dishes. Looks crowded but very highly organized. We were a group of 11 friends, 16th in the queue and the wait was 8 minutes. Exceptional service by all staff. The owner is quite down-to-earth and friendly, making …",Geetham
Geetham Veg Restaurant,"There is mosquitoes around us but their workers just watching without doing anything . One of the worst Naan  ever had , it’s so thin and crispy.  We went the next day and found out AC has water leakage and it falls on our head. So conclusion is food especially chuty is just average . Food 50/50. It’s my taste",Geetham
Geetham Veg Restaurant,Went there as a team and enjoyed the taste of mixed cuisines. The service was good and they made us feel comfortable. Make sure that you have time to wait to get a table. As the waiting period was a bit long on the date we went but they managed to accommodate us as soon as they can.,Geetham
Geetham Veg Restaurant,"Pretty average food, oily as well.
The idli that came with the mini tiffin was nowhere fresh nor hot. …",Geetham
Geetham Veg Restaurant,"Came here for dinner while visiting family in Chennai. Had to wait about 10 minutes on a busy night. Lots of seats inside and staff was very nice. Order took a little while to come, likely because of business, but food was delicious. Staff …",Geetham
Geetham Veg Restaurant,"Had a quick lunch at this place today. It was pretty crowded quite warm inside because of the crowd, the weather outside, and they kept the door open all the time! …",Geetham
Geetham Veg Restaurant,"The food here is honestly not worth the price they charge. The taste and quality do not match how expensive the menu is. On top of that, the restaurant has a serious fly problem, and this is not some temporary issue - it has been like this …",Geetham
Geetham Veg Restaurant,Yummy Comfy South Indian Meal with Icecream Fruit Salad and Paan too . 270 for a south indian meal. …,Geetham
Geetham Veg Restaurant,"Very nice restaurant for a good food experience!

Vibrant atmosphere filled with families relishing their choice of food ranging …",Geetham
Geetham Veg Restaurant,Come here before 730pm if you don't want to get stuck in a long queue outside and wait for min 30m to get in. Very quick service and good varieties. Love their OTT (Open Till Two am) menu as well if you're a fellow night owl.,Geetham
Geetham Veg Restaurant,"We had stopped at geetham for evening snacks, ordered idli fries, jain ghee roast, paneer masala dosa, sambar idli, sambar vada and rasmalai. All the items tasted good, service was quick and prompt, the paneer was so soft and succulent. …",Geetham
Geetham Veg Restaurant,"First time visit had a nice lunch

Thanks to Narayan and Debashish for their lovely care and help to choose right food for us.",Geetham
Geetham Veg Restaurant,This branch in Tnagar  vegetarian restaurant little crampy near the last row..if they make it perfect then 10/10 also an area to rectify i would say is the sink where always there is water clog. . food is good n quick service. They have a …,Geetham
Geetham Veg Restaurant,"Waiters wont attend table, first for order - they came after 15 minutes to table and had to wait 40 mins for a ghee podi masala dosa.
Food is good but arrogant waiters. I will change my mind and update review if next time they rectify.",Geetham
Geetham Veg Restaurant,Worst experience. We were a group of 6 people who went for dinner last night and specifically ordered Jain food. The food quality and service were extremely disappointing. …,Geetham
Geetham Veg Restaurant,"Been coming to this place for so many years and it has stayed the same, both in terms of taste and ambience, even after the rebranding. The food is excellent. And the waiters are extremely friendly and polite. …",Geetham
Geetham Veg Restaurant,Do not give any order online at Geetham Restaurant. They said they will deliver themselves. Just ordered a Sandwich and a coffee at 432pm and the delivery not done until 615pm. The restaurant was just 15mnts walking distance from the …,Geetham
Geetham Veg Restaurant,"As an outsider for this city, we had good food and enjoyed a good service here.
Highly recommended.",Geetham
Geetham Veg Restaurant,"PROs - food taste mostly good , location
CONs - ambience is bad for the price , no AC , service average , wait time …",Geetham
Geetham Veg Restaurant,If you are looking for for South Indian authentic vegetarian food. This is the place for you . Don’t miss to taste Paayasam that’s been served with every Thali. Quick service with Happy meal,Geetham
Geetham Veg Restaurant,"Have been there last week for breakfast.
Long time in my wish list.
The ambience is good and there is limited car parking space in the street. …",Geetham
Geetham Veg Restaurant,"Amazing food.
The food is delicious and well made but i would argue that the food is definitely on the pricier side. …",Geetham
