branch,review,restaurant
"Namma Veedu Vasanta Bhavan - Tnagar, Chennai",I m writing review becas it will be helpful for someone who looks for a good veg restaurant.I don't know how it got 4.8 rating.Yesterday i had Lunch there.First we hv to pay money and then then we hv to collect our food.Menu name will not …,Namma Veedu Vasanta Bhavan
"Namma Veedu Vasanta Bhavan - Tnagar, Chennai","fantastic place for authentic Indian vegetarian food. The taste truly stands out — every dish feels fresh, flavorful, and prepared with great care. From classic South Indian staples to a wide variety of North Indian options, the menu offers …",Namma Veedu Vasanta Bhavan
"Namma Veedu Vasanta Bhavan - Tnagar, Chennai",Superb taste food&services.100😍 …,Namma Veedu Vasanta Bhavan
"Namma Veedu Vasanta Bhavan - Tnagar, Chennai",Food quality tast was good overall good 👍 …,Namma Veedu Vasanta Bhavan
"Namma Veedu Vasanta Bhavan - Tnagar, Chennai",Everything was good but they can reduce the price nice ambience good service but they are charging 220 for a limited meals 300 above for normal meals,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Had a Great service and have a great atmosphere and the food is absolutely Good and had a great service from Jayanthi and Rose felt much more comfortable from service to recommendation of food.,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"The hotel was very good and food also good and cleaning was nice, we can eat good veg meals with family and friends",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Excellent hospitality and amazing food, great service done by Jeyanthi and Rose, keep up the good work...if you could keep the tissue in rest room work be super",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Well spend time…nice service end from ajay,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"It's been a while I tasted most authentic cuisine in veg
Very tasty and the ambience was enjoyable …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Only atmosphere is good , service is very slow and food taste is way below average 👎 …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Food was tasty and service was super fast, however there were slight delays in getting the bill finally.
Atmosphere one of the best in chennai with plenty of parking",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Very good service and a beautiful interior, polite and kind gesture by one of the staff called Ajay",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Jayanthi took care of us really good and food was delivered on time,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Ajay - it's been pleasure on your service and food are really good. Keep the same momentum.,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,I always give 5 star for vb world in both Anna Nagar and sharaf dg as I like to visit for the favourite signature dish truffle mushroom dim sum and the nice service by the captain and managers. But this time I got to give 3 star for service …,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"I ordered mushroom fried rice takeaway from this hotel. My house is just one kilometer away, but trusting the positive reviews, I sent someone from home to pick it up. He ordered mushroom fried rice and brought the parcel back. …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"I ordered tea and it was a spoiled tea was served to the table
It was not upto what they are named for
Worst tea and ruined my experience",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Excellent food and atmosphere thank you and staff,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Super Atmosphere look like International hotel,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Good food 😋 Great 👍 …,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Sathya mam services has good.,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Ajay good excellent, good service",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Vindhya did an great service,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Good service from Kandhan,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Amazing atmosphere great good the team working on the ground needs training they have no clue what to take orders if you are doing Pan Asia you need people understand what others are asking there was a lot of back and forth and there was a …,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Absolutely fantastic and authentic South Indian food! The VB World-inspired design and ambiance of this Vasantha Bhavan branch are truly impressive and create a premium dining atmosphere. This was my first visit to this location, and I was …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Great Ambience, But Food Needs Improvement

Visited this place for both breakfast and lunch. The ambience was really …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Good food and ambience,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Best place for family dining,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"We visited as a family of three on a Sunday evening, but unfortunately, the experience didn't live up to the price point. While the Popcorn Paneer was quite good, the rest of the meal was disappointing. The Thai fruit salad was …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"The food was amazing. Great hospitality by Ajay, lovely food suggestions and he was very kind to us.",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Food was just average for the price . So much waiting time and not worth the ambience and hype the restaurant had,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Had a great experience at VB world and special thanks to Vindhiya for the service.,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"300ml water bottles local and branded.
All type of soft drinks are availabel in retail and whole sale.
MRP starts from 10. …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Had an amazing dine-in experience with friends at Namma Veettu Vasantha Bhavan! The entire experience felt unique—from the ambiance to the food. Everything we tried was absolutely delicious. …,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Wrongly went inside for attractive ambience. Each items in menu card is Rs.350. Lowest price is plain dosa Rs.200 next is  idly is Rs.100. Saravana bhavan Delhi connaught road is much lower than this......Too much noise of crowd talking and other side western songs in loud. Very disturbing. Min 30 minutes waiting time.,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"Great service by Deepa and the entire time. Great food, ambience & service",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"I am writing to express my disappointment regarding the parking policy at your establishment. Despite having ample space, I was denied entry because I arrived in an auto-rickshaw and was told to park by the security post. An auto-rickshaw …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Not worth for money very waste food service,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,"I ordered mushroom fried rice takeaway from this hotel. My house is just a kilometer away from this hotel. However, trusting the good reviews, I asked someone from my house to pick it up. He ordered mushroom fried rice and brought the …",Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Jayanthi service was good,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Good service by chakaravarthi,Namma Veedu Vasanta Bhavan
Vasantha Bhavan - V B World,Jayanthi service was good mahagikm,Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,"Disappointing Dining Experience at Vasanta bhavan– Avoid at All Costs!
Rating: 1/5 (Only because zero isn't an option)
I visited this restaurant a few days ago hoping for a decent meal, but it turned …",Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,"Stopped here for a quick breakfast before my train. The Mini Breakfast combo were piping hot and delicious. The highlight, however, was the Filter Kaapi-strong and aromatic, just how it should be! Great to see such a well maintained restaurant so close to a major transport hub.",Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,No please do not go to this restaurant its not worth your money at all. For 50rs you get 1 medu vada which the staff says is medium size for that price one can atleast expect to reach the edges of your palm which this one does not and for …,Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,Located just opposite to Egmore railway station. Neat and clean restaurant with plenty of vegetarian menu options. Special call out for Mr.Pushparaj who helped serve food during our visit. We will visit again.,Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,"Great atmosphere and even better service. Sasikala looked after us today and was incredibly efficient without making us feel rushed. They checked in at just the right times and kept our drinks refilled. One of the best dining experiences I’ve had in a while!""",Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,"The staff are so rude.. as on 15 th may 26 morning 5.50
In my rush to catch a train, I given money to the cashier and asked for a takewaay, a standard practice among customers. A woman at the counter had just …",Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,"I have visited this restaurant for the first time, ordered a mini tiffin series.. food is really good to try for.",Namma Veedu Vasanta Bhavan
Namma Veedu Vasanta Bhavan,"It's a nice pure veg restaurant. Food is so good. Best place for Family to dine-in. It's just opposite to Egmore Railway Station. We tried Idli,Gobi rice and Dosa. More varieties available. Service is also Good. Ambience is also Good. There are also several sweets and Spice powders to shop-in there. Overall it's a Good one.",Namma Veedu Vasanta Bhavan
