Branch,review,Restaurant
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Both food and service was amazing— highly recommend for anyone to come try. Krishna Captain was an amazing host as well.,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Geetham Veg Restaurant is a superb place for authentic South Indian food. Whenever I am in South India, I make it a point to visit this restaurant—it has become my go-to choice over the years. Every dish on their menu is absolutely mouth-watering, with rich flavors and excellent presentation. One of the most impressive aspects is the level of hygiene they maintain—it truly sets them apart from many other restaurants. Cleanliness and quality seem to be a top priority here. The staff is always welcoming, smiling, and extremely courteous, which enhances the overall dining experience. Service is consistently prompt and well-managed, ensuring that customers feel comfortable and valued. I have been dining at this chain for the past five years, and I can confidently say that I have never been disappointed. The consistency in taste, service, and quality makes it a highly reliable choice for anyone who loves South Indian cuisine.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This vegetarian restaurant was suggested by our Chennai City Guide Nanda. We each ordered aTamil Nadu thalli which is a dish of several different vegetarian dishes served with rice. This is a very popular place frequented by locals, since the food is tasty and served quickly. Very tasty food for only 270 Rupees each. They top up the vegetable dishes if you need it. Finished off with an iced cream on fruit, and a masala chai.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,This subpar in quality compared Sangeetha. As a US traveller my credit card was not accepted. UK credit card from my friend denied by machine. Won't recommend Don't go there,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,The waiter attended to me as I arrived. Food order was taken and arrived a little later. This was a busy day due to it being a weekend. Lovely food and in English which makes it easier for me.,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"I had Jalapeno idli, onion uttappam and dry fruits milk shake. They were very good! The milk shake was so thick that it was difficult to sip with a straw. :-)",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Average restaurant lots of variety given, highly recommended to not order Chinese but instead of course go for the tiffin options. Service was average and slightly slow, nothing else to say if you are hungry and have no place to go settle here for a quick meal.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Came here with my father and had lunch with an old coworker on Saturday, 5/24 which was my birthday. Had the manchurian noodles and shared a little bit of the thali items because my dad especially did not eat a whole lot. As always with every Geetham, superb quality.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Visited Geetham at Anna Nager today the 13th May 2025 for Breakfast at about 7.30 am with family.   Ordered items like idli, pongal, vada, coffee.    The texture of pongal was that of stale one.   like yesterday pongal reheated and served.   Vada also was not fresh.   it tasted like reheated vada.  only coffee and idli was good.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,This spot has great north and south Indian food. You can taste all the flavours and the service was very good 👍. Definitely go to this place,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Worst service. Cold food. There was no sight of the ghee roast we ordered 30 minutes later after several reminders. Callous attitude of staff. We are regulars at Geetham and were extremely disappointed. Most customers were raising concerns. Ps. There were only 4 tables occupied. Not that it was crowded and they couldn't handle.,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"A decent Veg. restaurant on the main street of Anna Salai.  This restaurant has very little parking, so they offer Valet parking.  This restaurant is open till 2 am, so it is very useful for travelers who need to take a late dinner.  Overall nice place and recommended for a pure-veg restaurant seekers.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Just average. Food quality ok. Had lunch. Rice quality not up to the mark. Felt that over priced menu. Huge line for getting in to restaurant. Location and ambiance ok,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Front of house manager Mr Arvind is very calm and very helpful.  He went out of his way to help me with my parcel order.The food quality and hygiene standards are very high. Service is also quick considering huge numbers of customers.,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Excellent Masala Dosa and v good service and washroom was very clean . Good variety on the menu. Clean tables and attentive service.,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"One place where you can have top class foods till midnight though you have a wait list always but worth all the waiting period as once you order food you will be surprised that all dishes from north Paneer to mushrrom to dal gobhi etc with crispy nan and roti to delight and if wantng south indian food you can try all dosas,thalis and you will not regret it.The fresh juices are awsome and the deserts are a must to be tried.You will come again is assured",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Dosai, vadai, tiffin items were all good, value for money, quick service. Don't go too early or too late, as most of the dishes wouldn't be available or might not be very fresh.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Went there for lunch and everything was delicious! We had a hearty lunch after a long flight and were fully satisfied. Toilets are clean too!,Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Even though the crowd was high... the seat management was very good and we were given seats within minutes and treated to a relishing breakfast The Pongal was excellent, so was the Vada The Dosa was okayish for me",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"If you want to have a wholesome south Indian (Tamil) lunch, you must not miss this joint. We went to this for lunch during peak summer. Pls remember you need to wait in queue due to heavy rush. It was very thoughtful of them to serve some cool welcome drink while you are waiting for your turn. Well managed queue system they have.",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This place is good for vegetarians, as it provides sumptuous delicious dishes. We had medu vada with curd, ghee roast dosa, filter coffee , all were really good",Geetham
Restaurant_Review-g304556-d27106440-Reviews-Geetham_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Geetham, the popular Vegetarian Restaurant Chain in Chennai. We visited the all new, spacious Restaurant in Medavakkam for dinner. Huge dining area with comfortable seating arrangements available. They offer exotic South Indian & North Indian vegetarian snacks and meals. You also get select Chinese variety starters and main course here. All their offerings are very tasty. Mysore Masala Dosai is a must try item!",Geetham
