Branch,review,Restaurant
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"We 4 came from kerala.From Egmore railway station me along with my friends went to have breakfast at this hotel which is close to station.Disappointing experience, Beware of exorbitant charges - Disappointed with the lack of transparency as they have not shared their menu card .We ordered for 2 ghee roast,2 paper roast , 4 vada 2 coffe and 1 tea .The bill amount was around 950.rs.The person who served food don't inform regarding the quantity of paper roast as one itself can be shared for 2. Won't be returning or recommending."" The food is not at all extraordinary but price is extraordinary ...it s toomuch",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Brilliant vegetarian lunch special, lots of items and at a reasonable price. The food was delicious, and the service from Mr Kumara vet was excellent. I will definitely visit again.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"I was a regular customer of this hotel in 1980s. By chewing the memories, once again I went there to taste the same meal. But, the quality and variety of side dishes were vanished. Neatness also compromised.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Tasty food just located opp to Egmore station. Had variety of food to order round the clock. Service is quick and courteous.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Place is somewhat neat and clean. Food taste is better, not very good taste. Somewhat ok. Cost is high compared to other branch",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"it is located exactly opposite to egmore railway station, main place for having good south indian food at nominal money.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Vasantha Bhavan located infront of Egmore station has just one good thing it's location. The food and service is not at par as others in the same vicinity.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Good place to have South Indian food. They serve a typical chutney which is good. Price is economical Service is good. Value for money,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Bang opposite to Egmore Railway station.. serves hot and fresh south indian breakfast items like idly, dosa and pongal and tea/coffee. Don't try anything adventurous. Service is quick and efficient.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"On 25th August (krishna jayanti) we went on for looking veg hotel in ecr and ended up in vasantha bhavan. Lunch served in first floor. Its a day of holiday but though its not so crowded v got tables immediately nd meals served immediately. But food quality nd taste ahhh? Sambar taste like mud with pulses and rasam was heavy of garam masala. Did u notice garam masala in rasam anywhere? So we calle the floor supervisor nd asked about the chef, what she said was, they cook food in some other place nd tranaport for meals. That lady said that she vl bring feedback paper so waited for about 30 mins but she never turned back . So v left. Vasantha bhavan is a chain of restaurants in chennai with good brand name but on a holiday time hw they serve a food like this couldn't imagine. Waste of food , time, money.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"I was looking for a good restaurant to have a taste of of some typical Chennai Food.  I fell for the name of 'Namma Veedu' Vasantha Bhavan which literally means 'Our Home' Vasantha Bhavan.  We have ordered for Appam with Coconut milk, Masala Dosa and Chennai Meals.  The thali to my utter surprise, did not contain the quintessential items that a South Indian thali should consist off.  There was no dhall, instead some watery sambhar.  No traditional poriyal (vegetable curry) was served.  Appalams (Papads) were served after two reminders.  Only some tasteless rasam and other namesake curries were served which looked like left over stuff at 8.30 PM!  The Appam was ok, Masala Dosa tasteless.  The waiters provided no service other than waiting at the table for their tips.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"very economical, fast service but the quality of the food is not like before, would love to come again",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This hotel is well located at the right place and in the middle of Marina beach, Anna salai and railway station. Easy to locate and move around if you choose this hotel. You can buy meals nearby.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Due to its location just opposite the Egmore Railway Station, this eatery is always crowded. Very reasonably priced items , snacks , lunch or dinner , with authentic South Indian taste. Service is prompt and efficient. Place needs more modernisation,  and better maintenance as far as cleanlines is considered.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"A very economical & yet good hygiene & good taste for all variety of food stuff.Best part is location is ideal ,as centrally located & adjacent to Central railway station.A must visit.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This is one of the worst restaurant that I have ever visited. Recently, had been to Chennai and had to take a connecting trian to Madurai. since had some buffer time thought of relisihing the Pongal dish, that I've been recommended by some of my south indian friends. It was around 6pm, that's when I had dropped in to this restaurant. I'd ordered for a Ghee Pongal. If you look at the menu above, it is written 54/-, which was the same when I saw and subsequently ordered. But, when I went to pay the bill, the cashier, [ the worstest person I have ever seen, has a very bad attitude towards customers ], asked to me pay Rs. 65/-. I asked is it the taxes ? The reply was No. Then I told him  ""in the menu it is listed as Rs. 54/-, why do I have to pay 65/- ""?. The reply was in Tamil, which I could not understand. I asked him "" Jab menu mein 54/- likha hai to mujhe 65/- kyun dena pad raha hai ""?. The he asked a person standing next to the counter to explain me in Hindi. The explanataion was "" From Morning 6am - 10am, it is 54/- but after that it is 65/-"". I told him "" No where in the menu it is mentioned "". The cashier denied to accept 54/-. I finally gave him, 65/- and left the place. Atleast the waiter could have made me aware of the price, but he did not. My experience after visiting this restaurant was, Absolutely NO CUSTOMER SERVICE, VERY BAD ATTITUDE SHOWN BY THE CASHIER. I have made a commitment for myself that I will not visit this Restaurant ever in my Future visits to Chennai. Even though, Ghee Pongal is my favorite dish, I would rather have it a different restaurant where the treat customer's with courtesy and dignity.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Yesterday i went with my family and had food in non ac section in 1st floor. When i suggested feedback about the food to supervisor he shouted at me saying not only me but all customers who say about food are stupid. After a long argument and when all the customers shouted at his behavior he fled the scene. Others who where there apologized on this behalf. Only if you have food inside ac you will get good service and quality otherwise this is the state of their service- i was told by other customers when coming out!,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Vasntha bhawan has some branches in chennai. You can try here doasa, rice items and idli and sweets also.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This is located in T.N. Nagar opposite Hotel Residency. I wanted traditional Tamil food, but they were interested in selling me only Punjabi and Chinese dishes. I finally got only dosa. Otherwise the restaurant was clean and the dosa good. Their Coconut Puddding was excellent. Good if you want to have a quick bite.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,You have just to cross the station to enter this place.Apart from the Proximity the value for your money is missing.The charges are little high .You get lots of variety food but Quality is missing.Place is untidy and service is the worst.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Its a restaurant with excellent cuisine and choice of dishes quite reasonably priced - service is also very good and the food is served without much time lag !,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"If you want to eat true south Indian food then visit Vasantha Bhawan, they have many branches around Chennai city.. Restaurant offers variety of cousin very much fit to the pocket",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,This new outlet is bright and well done. The south indian food is good. Restaurant has a good ambience and also valet parking. South Indian thali is pretty good,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"We are a regular visitor to this hotel as it is seen as the best hotel offering delicious food in the vicinity. We relish, among other dishes, their idiaappam with kadalai curry as we consider it as their speciality. The courteous staff, the good ambience, neatness, all go to their credit.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This is an extra ordinary place for both accommodation and also for taking meals. As this is located nearby Railway station and main road, you have easy connectivity and within a sort period of time, you can do almost all our needy works in this location.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Went there for dinner. AC restaurant is on 1st floor. ordered curry and tandoori roti, which was pretty decent. service was prompt,and  waiters were courteous Picked up a few sweets and snacks from the front counter before leaving.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Very good food as per the rates offered. Had to wait long due to rush. Service was average, dishes took long time to come",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Just opposite to Egmore station. Good food and worth of money. I found chinese here very good. Have been here many times.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,I had masala dosai which was no special. It was cold and the sambaar was cold too. The chutney didn't had any taste.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Went for dinner and they didn't have quiet a few items on the menu. Settled in for some onion uthappam and odi idly. Food was good, over priced though.Food was quiet late. However the waiter were courteous and friendly. Made sure they had a smile on their face and well mannered.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Hotel Vasantha Bhavan in Chennai is possibly one of the finest food joint especially for a good palatable and tasty meals during lunch or dinner. Very amicable and pleasing joint. suitable with non AC and AC dining areas. well mannered serving janitors. A must for visitors to try tamilian meals with family or friends during tours and travels.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,this is really a nice to go for morning breakfast and lunch. excellent food and server hot and fresh. taste is memorable and variety of dishes on vegetarian.,Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Had dinner along with a friend in March during a business trip. The restaurant is located just opposite egmore station. It has a good menu of South Indian vegetarian fare which is also reasonably priced. Excellent taste and very attentive, courteous and efficient service. Highly recommended for vegetarians.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Located Exactly opposite to Egmore Station entrance. This Hotel has both AC and Non AC halls, AC is located in 1st floor and Non AC is in Ground Floor as well as 1st floor. 1) Ambiance will be really good and pleasant 2) Serving will be good 3) Waiting Time will be normal 4) Food taste will be good 5) Good Varieties of Chutneys and Podis Non AC: 1) Dining Area will be normal in First Floor and Crowded in ground floor 2) Serving Time will be quick 3) Food taste is similar to AC Hall Must Try: 1) Mushroom Dosa 2) Filter Coffee 3) Paneer Dosa Recommended for Families and Travellers",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"This place serves good vegetarian food at reasonable rates. If you like South Indian food, then you must visit it.",Vasanthabhavan
Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"It was a surprise to see one more Vasantha Bhavan opposite to Egmore station. It's been little crowded and having some healthy food choices. The menu was quite welcoming and listed with reasonable prices.We have ordered chicpea vada(Kondakadalai vada), Kari Dosa(Soya chunks dosa), Mysore masala dosa, Idlis,Panakarkandu Paal(Crystallized Palm Sugar milk).It was so yummy and less oil used in Vada as well as in Dosa. Side dishes were quite different and tasty.My only suggestion is to maintain little hygiene while preparing the food. Quick service- 8/10 Avg ambiance- 6/10 good food -7/10",Vasanthabhavan
