Branch,review,Restaurant
Anna Nagar East,The tandoori rotis were far too thin and did not justify the price charged. I expected better quality and portion size for what was paid.,Sangeetha's Desi Mane
Anna Nagar East,"Everything is good, food variety, taste, service..a regular to this place and always a satisfying experience.",Sangeetha's Desi Mane
Anna Nagar East,very nice food some dishes take more time than expected French fries not nice,Sangeetha's Desi Mane
Anna Nagar East,"thumb-up-fill POSITIVE fresh food good quality timely service Amazing place to visit with family. Everything was served hot and felt fresh even though we visited at 10:30 pm at night. Only thing I wish is that they could have told us how big the ghee roast would be 😆🥲 because of this unawareness we over ordered and ended up wasting some food. + 1 Photo(s) 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share DkRam 0 reviews 30 Followers Follow 3 star-fill DINING Oct 02, 2022 Of late the experience is deteriorating. Attitude of the staff is highly inconsistent. Sometimes worse than govt employees. You have to be there before 1030 am to order idli or Vada. 5 mins late n they say it's over. Am amazed how they are so accurate in estimating demand! Quiz them n get a reply that post 1030 Vada will get spoilt. Ask them to serve you hot dosa n the looks you get is irritating. While i appreciate their desire to avoid wastage, the amount of chutney n podi they give is frustrating. On an average one needs to order atleast thrice to get some semblance of quantity. The inordinate delay in getting this makes it more frustrating. Better iff they start to improve or hope... read more",Sangeetha's Desi Mane
Velachery,"One of the best veg restuarent in velachecrry, I order home delivery, all food is fresh and good quality and quantity, quickly service, than you very much",Sangeetha Veg Restaurant
Velachery,thumb-up-fill POSITIVE taste,Sangeetha Veg Restaurant
Velachery,thumb-up-fill NEGATIVE small size vada,Sangeetha Veg Restaurant
Velachery,When you search for a dish it should list related menus of this dish across all restaurants. This will help to pick the exact dish in minimal time.,Sangeetha Veg Restaurant
Velachery,thumb-up-fill POSITIVE honey chilli gobi went for a lunch here. taste of all the items from soup to desserts are very good. starters honey chilli Gobi and paneer tikka are nice. paneer was very soft. kaju paneer masala side dish and masala kulcha are good. juices were served in bottled jug. serving was bit slow as more people started coming.,Sangeetha Veg Restaurant
Anna Nagar East,"thumb-up-fill POSITIVE fresh food good quality great portions delicious food timely service clean and hygienic place A great restaurant to enjoy an evening meal. Delicious food from South Indian to North Indian is available with some inventive dishes not found elsewhere. I loved the spinach cheese roll, Bombay paneer 65 but i relished the chola bhatura and the magic boy juice. An ending with meeta paan concluded my food orgasm. An amazing place to enjoy your meal. Weekends draw a huge crowd and it is good to be early or plan a 30 minute wait at the entrance to be seated. +1 Photo(s)",Sangeetha's Desi Mane
Anna Nagar East,thumb-up-fill NEGATIVE customer service experience This place being in a major location had it's ambience and other typical restaurant factors quite well.However one thing that matters to any restaurant is the way they treat their customers and the priority of the time. So we went here for breakfast and the food was good. But the one thing that disappointed the experience was the half an hour delay they took to get a cup of tea and coffee. Despite reminding multiple waiters about our order there was no proper response and they were only interested in serving to the other customers who came later than us. Overall food was ok...but what's the point when there isn't proper service?,Sangeetha's Desi Mane
Anna Nagar East,thumb-up-fill POSITIVE good quality delicious taste timely service clean and hygienic place,Sangeetha's Desi Mane
Anna Nagar East,thumb-up-fill POSITIVE worth the money clean and hygienic place,Sangeetha's Desi Mane
