Branch,review,Restaurant
Gandhipuram,"This is a cult place in Coimbatore and famous for their masala dosa sa, Idli etc. and thus we decided to go their for lunch and following was our experience- Food- The time we went, unfortunately, idly was over and thus we ordered their signature masala dosa (very well made, the palya was spread through the dosa), the sambar, green and red chutney were very fresh. The vegetable kothhu paratha was equally well made. The chocolate brownie was very soft and gooey. Customer service- The lady who was taking orders was named, nagarathna. Very prompt and excellent customer service displayed. I was first served a slightly too crispy dosa and she immediately came to rescue and ordered the person... read more 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Annam 0 reviews 0 Followers Follow 5 star-fill DINING Dec 26, 2020 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share Suganthivelmurugan 0 reviews 0 Followers Follow 5 star-fill DINING Nov 28, 2020",Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill POSITIVE taste south indian food,Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill POSITIVE curd rice filtered coffee,Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Extremely disappointed over the fact that an established chain like annapoorna has not been able to maintain quality or consistency in taste over its branches in the city.Tasteless dosas,and cold sambar don't seem to help either.Extremely disappointed.",Sree Annapoorna Sree Gowrishankar
Gandhipuram,I had ghee onion rava dosa. No words to describe the dosa. It was crispy and soft at the same time. Really loved it. Filter coffee was excellent as well. Must visit when you are in Coimbatore. Lovely place.,Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Was recommended this place for breakfast and I am glad I went there. Extremely fast service, courteous staff and just pure joy eating here. Went with family and hence tried multiple things... Dosa, Idli, upma, and a couple more. Extremely pocket friendly. Will definitely visit and recommend.",Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Im from Chennai actually. When ever I visit Coimbatore, I visit this restaurant without fail. They provide good taste of food at affordable price. I tried vendhaya dosai for a change it was tasted like home food. Point of notice is sambar. Here they provide a sambar which u can drink it like Ratna cafe in Chennai.",Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Sree Annapoorna is a well established franchise in Coimbatore. They serve food which are affordable, hygienic and tasty. I love the meals from this place, whenever I visit Coimbatore a lunch from this place is a must. The service is good and so is the ambience.",Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill POSITIVE vada relaxed atmosphere good for large groups,Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill POSITIVE tomato rice relaxed atmosphere,Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill POSITIVE good thumb-up-fill NEGATIVE bad crowd,Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill NEGATIVE panneer butter masala,Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Good Food and great service, this is very good restaurant to visit with friends and family the food was fresh and tested great as well. Would recommend to go in this restaurant",Sree Annapoorna Sree Gowrishankar
Gandhipuram,Where do I start about this place. From breakfast menu to snacks menu to drinks menu - everything here are on point and served hot/cold depending on the dish. Best ever :) +6 Photo(s),Sree Annapoorna Sree Gowrishankar
Gandhipuram,"I like sree annapoorna hotel and the food of south indian meal was my one of the favourite in that hotel. They including rice three variety of sambar, curd, payasam, uppu, pickle, appalam and three variety of poriyal in a amazing home taste food... 😋i love south indian meals so much 😍",Sree Annapoorna Sree Gowrishankar
Gandhipuram,The Sambar they make it's so good and their roast is so crispy even if it's delivered at my home.am really pleased with their packaging as it's like ready to eat we don't have to shift to our plates,Sree Annapoorna Sree Gowrishankar
Gandhipuram,The best coffee you will ever get.Thanks for such a beautiful coffee 😍🤩.I recommend anyone who wish to get a good and strong coffee that's gonna double your happiness 🙌,Sree Annapoorna Sree Gowrishankar
Gandhipuram,Great food at very reasonable price. Quick service and polite staff. The milkshakes are simply amazing. The meals are extreme value for money.,Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Located in busy locality is a perfect place to grab breakfast, lunch or dinner.",Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Annapoorna needs no introduction. It is an iconic must stop at when in the city. The crowds seated , and waiting outside to be seated should tell you about the level of popularity this place enjoys. We had the Chana Bhatura and Vazhapoo Sevai and top marks to both. The Sevai was a novelty to us and I would recommend it highly. Quick service and economical pricing adds to the appeal. +1 Photo(s)",Sree Annapoorna Sree Gowrishankar
Gandhipuram,One of the best places in Kovai for South Indian food.loads of flavours and quality food.the decor is average and can be improved.in one word value for money,Sree Annapoorna Sree Gowrishankar
Gandhipuram,"This is a legendary place to savour your taste buds with some quality south Indian food. My top favorites are: 1. Paneer masala dosa: Made with love, this crisp on outside crusty legend is a top pick for me. Filled with mashed flavoured paneer or cottage cheese with lightly fried onions and the tanginess of tomatoes giving it the twist. Served with traditional coconut chutney, a flavourful tomato chutney and the mint-coconut chutney. And a really thick sambhar @₹80 2. Ghee roast Dosa: This one is aromatic and is a tall huge tower. It has no fillings but the crust has a beautiful aroma of the homemade ghee. It is also served with the 3 chutneys and a thick sambhar bowl. @₹67 3.... read more +1 Photo(s)",Sree Annapoorna Sree Gowrishankar
Gandhipuram,"Edit : Visited this place again and extremely disappointed with the food and service. This place is a must visit in Coimbatore. I had the mini meals. The order came very quickly. Except the chappatis, every thing was amazing. The mini badusha is a just too good. Great service and hospitality.",Sree Annapoorna Sree Gowrishankar
Gandhipuram,thumb-up-fill NEGATIVE quantity,Sree Annapoorna
Gandhipuram,"Situated at the Gandhipuram Bus Terminus, just opposite to TTDC, on the way back from Ooty, we stayed in Coimbatore mainly for two reasons, one for Visiting Marutha Malai and the second reason to taste the Annapoorna Roast. Sunday morning visited the restaurant at 10 am, it was full, we waited for 15 mins to get a seat. Started ordering Roast, Poori Masala, Pongal, Idly, Vadai, Onion Rava Roast, Rasamalai, Ice Cream and Coffee. Spent more than an hour in the restaurant as it's my 15 years dream to taste their Roast (better than HSB) and really worth the wait. The roast was crispy and tasty, Sambar, chutney, Poori, coffee and all the dishes are tempting and delicious. Bill came around... read more + 6 Photo(s) 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share Nabeel Akram 0 reviews 2919 Followers Follow 4 star-fill DINING Apr 09, 2019 Pride of Coimbatore - Yes it is. We all know Tamil nadu is best for Dosas. There is no need of review from my side to prove they serve the best dosa. The place got upgraded in-terms of hygiene and service. Located very close to gandipuram main bus stand. Ideal for travel eaters. We had poori , Dosa , Poratta and pastries too. white  forest was yumm + 3 Photo(s)",Sree Annapoorna
Gandhipuram,"Located at the entrance of Ghandhipuram bus station. Huge dining area with separate ac and non ac sections. Food Tried: Sambar Vada, Lemon Sevai and Filter coffee Sambar Vadai tasted very good. Especially the Sambar tasted awesome 👌👌 Lemon Sevai - This is the first time I tried this dish. It tasted like lemon rice but instead of rice with Semiya. It was served with Regular chutney and sambar but some sort of kurma could go well with this dish. Filter coffee was Thick, strong and full of aroma. Tasted excellent 👌 Paid 100 rupees for the above three items. Lemon Sevai is quite expensive for the quantity they served other than that it was an very good experience 👍",Sree Annapoorna
Gandhipuram,Coffee at it's best!!!! Just was travelling.. I love strong filter coffee 😎 When served it never looked strong but when You taste it Seriously they serve second best coffee of the world next to hotchips 😍,Sree Annapoorna
Gandhipuram,Another wonderful franchise of the legendary restaurant in Coimbatore. The same odour and the same taste. Epic filter coffee and wonderful south and north indian dishes.,Sree Annapoorna
Gandhipuram,"Had a simple breakfast. Ordered dosa, vara and coffee. Dosa and coffee was hot and good. But vada was disappointing. Not worth the money we paid.",Sree Annapoorna
Gandhipuram,The best place for vegetarian meals in Coimbatore. Great dosa and even greater other south Indian dishes. I'm a regular stopper here for their ghee roasts. Great food for great value for money!,Sree Annapoorna
Sivanadha Colony,I ordered 3 items from sree annapoorna gowrishankar sivananthacolony through Zomato . But got only 2 items. They are careless to miss the item and didn’t respond as well. Very poor service,Sree Annapoorna Sree Gowrishankar
Town Hall,Food is great as always... afraid that few staffs of this branch is not keeping up the name...the cleaning lady was irritating just showing faces and rude..please have a check on these small but impactful issues.....,Sree Annapoorna Sree Gowrishankar
Town Hall,"When I inquired with people about places to eat in Coimbatore, everyone unanimously pointed out Annapoorna as first choice for the vegetarian fare. And boy, how wonderful was it. I visited the Town Hall branch on all three days I stayed there. This, coming from a person who rarely goes to a restaurant twice, is something special. There is something about the restaurant, which gives such a positive vibe. Right from the morning to night, the waiters are so respectful, the food gets served on time and the quality always remains top notch. I had Idly, Roast, Poori, Sambar Vadai, Pongal, Coffee and Tea in my three visits. Absolutely nothing to complain. Out of the list, Pongal exceeded my... read more 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share Dr.spvendan.07 0 reviews 1 Followers Follow 1 star-fill DINING Jun 26, 2022",Sree Annapoorna Sree Gowrishankar
Town Hall,"thumb-up-fill POSITIVE authentic tamil food thumb-up-fill NEGATIVE high prices One of the trademarks of coimbatore. There cannot be a person in coimbatore who has hit heard of Annapoorna sambar and filter coffee. Though in the recent times it has become more commericial so there are slight compromises in the food taste. Still holding up the pride. Vegetarians most favorite restaurant in cbe. 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share Toni Stark 0 reviews 0 Followers Follow 2 star-fill DINING Jan 02, 2020 thumb-up-fill POSITIVE amazing food",Sree Annapoorna Sree Gowrishankar
Town Hall,It is a restaurant that serves quality food at competitive price. For people who don't know annapoorna.... it is the A2B of coimbatore. They also have many varities of sweets. The garlic kulcha and chettinadu paneer tasted great. The ghee dosai was awesome. Their green chutney tastes a bit different and good.,Sree Annapoorna Sree Gowrishankar
Town Hall,"One of my most favourite places in Coimbatore for vegetarian lunch. Had Appam, plain roast, mango milkshake and Bournvita recently. Appam tasted normal. Plain roast was crisp and awesome. As usual the coconut chutney and sambar also too good. Price is medium compared to other hotels. 👍 +1 Photo(s)",Sree Annapoorna Sree Gowrishankar
Town Hall,A place not to be missed to have either lunch or dinner - in the middle of or at the end of the shopping spree in town hall! It can be seen crowded at all times. Fast service and food always tastes great.,Sree Annapoorna Sree Gowrishankar
Town Hall,Normally the hotel in beside busstand won't be tasty but this hotel is not like that. It's having one of the best taste with the moderate cost. The service is very quick and respectable.,Sree Annapoorna Sree Gowrishankar
Town Hall,Where ever i go i find this and i wud love to eat here...!!!! One idly sambar and vadai and one coffee..!! Heacenly taste but lil expensive...!!!,Sree Annapoorna Sree Gowrishankar
Town Hall,"Sree Annapoorna chain of restaurants is located at various hearts of Coimbatore city and are well known for their traditional South Indian vegetarian cuisine for the past 50+ years. It is often fondly referred to as 'The Pride of Coimbatore' among foodie circle. During my recent visit to Coimbatore, I had a chance of dining here for breakfast. We opted for their Special Breakfast. It included Sambhar Vadai, Idly with Chutney, Pongal, Mini-Ghee masala dosa, Sweet (Pineapple Kesari) and Filter Coffee. Vadai soaked in flavourful sambhar was delicious. Masala Dosa was oozing with Ghee and tasted heavenly. Pongal, Idly and Pineapple Kesari were also good. My friend was raving about... read more +9 Photo(s)",Sree Annapoorna Sree Gowrishankar
Town Hall,"Fantastic foods. Morning breakfasts like idly dosa and the chutneys are very tasty and will ask for.more. overall the pride of Coimbatore and being a old chain of restaurant , it marks the quality of food .",Sree Annapoorna Sree Gowrishankar
Town Hall,"I'm writing this review in such elation because I just had to tell the world that today I ate the best south Indian breakfast in the country. My usual test for the authenticity of any south Indian place is the quality of its sambar. And let me tell you, this place makes sambar that you won't be able to stop having. I felt that if I stop eating the masala dosa with its perfectly balanced chutneys, I would die that very second. That's how good it was. Service was quick and excellent. The vada was quite crispy and fluffy, just the way it is supposed to be. And the filter coffee? Man...it jerked open the sleepy half of my brain in a nano second. Wonderful experience, will visit it again as... read more",Sree Annapoorna Sree Gowrishankar
Town Hall,"Amazing vegetarian food. Very clean for an Indian restaurant . Excellent customer service , loved the thali and ghee roast was so crisp and tasted perfect... Perfect veg place to have food and also packed some sweets to home .. Mango burfi, badusha, Mysore pak, kalajamun, soan papdi loved them all ...",Sree Annapoorna Sree Gowrishankar
