Branch,review,Restaurant
Alandur,Gobi manchurian is extremely oily very worst quality of food highly disappointed with the food,Annapoorna Hot Veg Restaurant
Alandur,"thumb-up-fill NEGATIVE manchurian I ordered Gobi Manchurian..... That was a very worst Manchurian I ever had... 1% also Gobi is not cooked... Very worst taste... Waste of money 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share Shyam Sunder 0 reviews 7 Followers Follow 4 star-fill DINING Feb 22, 2020 thumb-up-fill POSITIVE idli vada sambar veg biryani",Annapoorna Hot Veg Restaurant
Alandur,thumb-up-fill NEGATIVE long waiting time intrusive staff,Annapoorna Hot Veg Restaurant
Alandur,I can see only atta roast than cauliflower in gobi Manchurian and the curd was damn chill and I have to Owen it..,Annapoorna Hot Veg Restaurant
Alandur,thumb-up-fill NEGATIVE long waiting time intrusive staff Waited long restaurants had to to show up they are online and no time to accept orders ... Wasted time waiting and have to wait for 7 more days to get money refunded.... Worst service from this restaurant,Annapoorna Hot Veg Restaurant
Alandur,thumb-up-fill NEGATIVE intrusive staff I couldn't even give 1Star for this restaurant due there behavior and disrespectful ..they have set of combos in swiggy pop in that half the items r missing. if we ask them in loud voice they r saying this much olyv can provide and u can complain where ever u want... I had attached the photo of there combo and I got oly 3items in that... I won't recommend any of u to order in this restaurant.. Thank you,Annapoorna Hot Veg Restaurant
Alandur,"We were a group of 4 adults. Stopped by at Annapoorna for a quick evening snack and coffee/tea. Found the place OK. Food was quite normal but the service was no that great. Had some Bonda, Vada, Sundal, Coffee, Tea and Badam milk.  Located a very prime location, right next to Alandur Metro and Kathipara junction. They could much better if they concentrate more on service and quality of food. +1 Photo(s)",Annapoorna Hot Veg Restaurant
Alandur,Your Dish is not eatable please concentrate the food taste and quality of food materials please don't sell the decomposed food please don't do that in future🌝,Annapoorna Hot Veg Restaurant
Alandur,Good food at affordable price. Food served is always hot and has decent taste. Good place to have south Indian food. Liled the experience here.,Annapoorna Hot Veg Restaurant
Alandur,"I recently tried Paper Dosa. The dosa was big, tasty and rate is affordable. Only concern was self service. The ambience is good and well maintained. This is a good vegetarian restaurant in Kathipara.",Annapoorna Hot Veg Restaurant
Alandur,"Recently went to this restaurant with my friend and we had dosa, chappathi. The rates were decent and the taste was awesome. It is self service and it was little disappointing. But this place is worth the money spent.",Annapoorna Hot Veg Restaurant
Alandur,Ordered the roti with green peas. Turns out they ran out of green peas so they said they'll give paneer butter masala instead. The paneer butter masala was too sweet and there was exactly one roti which obviously didn't satiate my hunger.,Annapoorna Hot Veg Restaurant
Alandur,I had Mushroom Dosa. Its not worth for the cost. Taste also very Bad. Even normal shop gives very tasty food. Service is ok and the restaurant is very clean. They must concentrate on Quality and only for the price.,Annapoorna Hot Veg Restaurant
Alandur,This was on my way to office. So i had breakfast here. They provide self service also. The tiffin items are good. I had Dosa and Idly it was OK. They have good parking facility.,Annapoorna Hot Veg Restaurant
Alandur,"Don't go at the appearance of the ambiance This is literally worst Too expensive with  respect to what it provides If you have no other option then you can have, else avoid",Annapoorna Hot Veg Restaurant
Alandur,Rasa vada is mind blowing!!!! A must try... Very good South Indian restaurant.. This restaurant has AC and Non AC. Non AC it is self service.. Very good experience ☺️☺️☺️,Annapoorna Hot Veg Restaurant
Alandur,Never visit this place! Worst hotel ever. Horrible staff and horrible food. The dosa I ordered wasn't even fried properly had raw flour inside. Indecent waiters who keep starring at you for no reason. Never going to this place even if  I'm starving!,Annapoorna Hot Veg Restaurant
Alandur,"Had been here last week for a quick bite. Idli, crispy dosai were good, quality and pricewise.  Planning to visit again for a regular dinner!  Service is pleasant and despite the location this restaurant is clean.",Annapoorna Hot Veg Restaurant
Semmancheri,thumb-up-fill POSITIVE fresh food good quality elaborate menu good wifi Excellent Quality and taste,Chennai Annapoorna
