Branch,review,Restaurant
Anna Salai,Worst taste. Quality and quantity.,Geetham Veg Restaurant
Anna Salai,food was good,Geetham Veg Restaurant
Anna Salai,"horrible, worst, he asked us not to share the limited meals though we ordered enough food along with curd rice combo & tandoori platter. Bad service",Geetham Veg Restaurant
Anna Salai,"the food was good, service should improve.",Geetham Veg Restaurant
Anna Salai,very good taste and awesome service,Geetham Veg Restaurant
Anna Salai,Well served by Krishna -Captain,Geetham Veg Restaurant
Anna Salai,very tasty and good service,Geetham Veg Restaurant
Anna Salai,very good ambience and nice food..,Geetham Veg Restaurant
Anna Salai,Excellent food!!!,Geetham Veg Restaurant
Anna Salai,service is very bad,Geetham Veg Restaurant
Anna Salai,evening good,Geetham Veg Restaurant
Anna Salai,"Tasty good, nice ambience.  Prompt service",Geetham Veg Restaurant
Anna Salai,"Ms. Gobina was polite, courteous and professional during my entire service. Kudos ? Keep up the good work team !!!",Geetham Veg Restaurant
Anna Salai,Discounts not applicable pay full payment,Geetham Veg Restaurant
Anna Salai,the floor is dirty it looks like it  has not been cleaned for so many years,Geetham Veg Restaurant
Anna Salai,"Had a fantastic time at Geetham! 😊 Food was delish, service was top-notch — super courteous and friendly! 🍴 The ambience was spot on too. Honestly, what more could you ask for? 😄",Geetham Veg Restaurant
Anna Salai,Tamilnadu Meals @294 is worthy and good food,Geetham Veg Restaurant
Anna Salai,Tamilnadu Meals @294 it is worthy and good taste.,Geetham Veg Restaurant
Anna Salai,"The food was good but a pretty noisy environment. My personal favorites at Geetham are many, but this time, I had  Bombay Paneer, Paneer Tikka Briyani and French Fries",Geetham Veg Restaurant
Anna Salai,service can be improved,Geetham Veg Restaurant
Anna Salai,The food was very good but bit crowded,Geetham Veg Restaurant
Anna Salai,order paneer gravy paid 280  but taste less I also delayed the order too much so I cancelled the second order . I did not expect this service from geetham,Geetham Veg Restaurant
Anna Salai,"like to start with the service, the worst service by the waiters, no proper response and they aren't even bothered to listen to the order, we entered the restaurant by 10.20 and ordered mini tiffen after waiting for 10 mins the waiters come and say that mini tiffin isn't available. then after we argued they brought our order. We ordered Ghee podi dosa but they gave masala dosa. worst attitude and service. if I can give 0 stars. I would give. HIGH TIME THEY FIX THEIR SERVICE OR THE END IS NEAR.",Geetham Veg Restaurant
Anna Salai,Amazing Food Rasmalai Kunafa is must have,Geetham Veg Restaurant
Ashok Nagar,"I ordered through zomato 1.Chettinadu vadai my favourite and Parotta ,what i received is shall vadai and parotto,Dhall is neither soaked nor grinder absolute kadalai paruppu straight from shop fried like vadai.I even complained and sent photos as per thr supervisors demand.They agreed and said will refund after  their chief arrives,even after 4 hrs,they did not act Just for information my house is just 100mts behind their outlet.If I complain about food wrongly sent or not proper Saravana bhawan will immediately send and will replace,Their taste and service nobody can match.Opening branch is not that. ,customer service should be best.Geetham is lacking that.",Geetham Veg Restaurant
Ashok Nagar,usless staff,Geetham Veg Restaurant
Ashok Nagar,"I ordered Kaldosai,u provided Coffee.Service very very Worst,and low quality of service,negligence of duty,even though by mistake I booked coffee,u may verify with customer or Service provider,then u give correct item after verification of item with customer or Zomatto service provider.if any more cost for Kal dosai,I will pay in GPAy.Negligence of duty,is not forgiveable.My name is Sivakrish,Gayatri flats,Srinivasa Iyer Street.if any mistake I am done on my side,by booking wrong order,I am very very Sorry for that.I am once again sorry for that.",Geetham Veg Restaurant
Ashok Nagar,Avoid this place at all cost Management is not interested in giving proper service and not willing to improve customer experience,Geetham Veg Restaurant
Ashok Nagar,Good taste and quality food but not enough for one person,Geetham Veg Restaurant
Ashok Nagar,Quality and tasty food,Geetham Veg Restaurant
Ashok Nagar,"I have received this pongal today from the restaurant via zomato in an old metal box. It wasn’t pongal but a version of curd rice. Both zomato and Geetham have failed to give a proper response. Added to it the desk person at Geetham was like the tell me the colour, i ll tell u if its pongal. Are u kidding me? I was born in TN and ven pongal is something we live on. This curd rice with no pepper, no cashews, no pepper corn and with no condiments is pongal. Worst exercise ever from Zomato who closed my complaint without any proper response and geetham who have such a condescending attitude.",Geetham Veg Restaurant
Ashok Nagar,"**Worst Service - Absolutely ZERO sense of timing, service or professionalism** Recently visited this restaurant with the family for lunch. We had ordered for starters, Biryani and Thali. Despite repeatedly asking for the starters to be served first, the lethargic waiter completely ignored the request. The starters eventually arrived after the main course was over and only after we had told them to cancel the order! Instead of canceling, they forced the food on us. To make things worse, we had to repeatedly request rice, which took forever to be served. Also, when we asked for a portion of biryani to take away, they wrapped it up in nothing but basic aluminium foil and no proper... read more",Geetham Veg Restaurant
Ashok Nagar,"Geetham hotel is a cheater, after we ordered 4 Parottas in that stupid zomato app yesterday for dinner ,when we opened it, no side dish were given for 4 Parottas, how to eat plain Parotta? When contacted zomato nothing they could do bcos cheater geetham hotel didnt attend their call and when we contacted ashok nagar geetham branch, cheaters were kept on lying that they will deliver the kuruma to our home, but it never got delivered, no refund no solution provided from fraud geetham hotel and fraud zomato, my money only got wasted, yesterday immediately uninstalled zomato app and will never ever order in this stupid geetham hotel even in swiggy!",Geetham Veg Restaurant
Ashok Nagar,Amazing mouthwatering food. We just loved all the dishes that we had. One of the best veg restaurants I would suggest in Chennai.,Geetham Veg Restaurant
Muttukadu,"No staff member attended to take the order even after waiting for 15 minutes. The behavior of the staff was careless and highly unprofessional. The manager appeared incapable of handling the situation properly. Even after serving breakfast, no attention was given for additional supply of chutneys or customer requirements. Such poor service is disappointing and needs immediate improvement. This is in Vettuvankani ( today morning )",Geetham Veg Restaurant
Muttukadu,"Went here on a Sunday morning and it was surprisingly less crowded probably due to the election time, otherwise getting a table here can be a task. We ordered a couple of mini tiffins, podi masala dosa, idly, and their special millet Pongal. The standout for me was the Pongal it had a soft, comforting texture with a mild, earthy flavour from the millets, yet still carried that familiar ghee richness and peppery warmth. It felt light on the stomach but still filling, making it a really good balance between taste and a healthier option. The rest of the dishes were satisfying, and we wrapped it up with a strong, well-made filter coffee. The only downside was the service it was quite slow... read more",Geetham Veg Restaurant
Muttukadu,mushroom briyani very nice taste,Geetham Veg Restaurant
Muttukadu,"taste food and good service capitan and waiter recommend to resmi paneer tikka & tandoori platter gravy panneer pesawari,paneer amastri tnk so much",Geetham Veg Restaurant
Muttukadu,"Worst Service! The waiters did not even seem bothered to take orders or serve them. They were not even bothered when we complained! Best to avoid! 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share 1 2 chevron-right Related to Geetham Veg Restaurant, Muttukadu Restaurants in Chennai, Chennai Restaurants , Muttukadu restaurants , Best Muttukadu restaurants , South Chennai restaurants , Casual Dining in Chennai , Casual Dining near me , Casual Dining in Muttukadu , Geetham Veg Restaurant Menu , Order food online in Muttukadu , Order food online in Chennai , New Year Parties in Chennai , Christmas' Special in Chennai Restaurants around Muttukadu Padur restaurants , Kovalam restaurants , Egatoor restaurants , Kelambakkam restaurants Frequent searches leading to this page geetham veg restaurant menu , geetham veg restaurant muttukadu menu , geetham veg restaurant chennai , geetham veg restaurant chennai menu , geetham veg restaurant  restaurant Top Stores Medavakkam , Navallur , T. Nagar , Anna Salai , Purasavakkam , GST Road , Koyambedu , Pallikaranai , Thiruverkadu Select Country India UAE India chevron-down Select Language language-globe English chevron-down About Zomato Who We Are Blog Work With Us Investor Relations Report Fraud Press Kit Contact Us Zomaverse Zomato Blinkit District Feeding India Hyperpure Zomato Live Zomaland Weather Union For Restaurants Partner With Us Apps For You Learn More Privacy Security Terms Social links twitter-circle By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2026 © Zomato™ Ltd. All rights reserved. Opening Hours Mon-Sun: 6am – 12midnight cross",Geetham Veg Restaurant
Muttukadu,"Waiting I can understand but waiters are super busy, half of the dishes and even half of falooda were not available. It’s difficult to get even waiter’s attention for placing order, place overflowing with people despite this all. Also noise. AVOID",Geetham Veg Restaurant
Muttukadu,- Excess podi in podi masala dosa (ruined my stomach) - slow service & rude waiter Pathetic experience Geetham management should seriously look into this matter!,Geetham Veg Restaurant
