branch,review,restaurant
Adyar+Ananda+Bhavan+ +A2B,"Adyar Ananda Bhavan in Gandhipuram is offering authentic vegetarian South Indian classics, North Indian, and Tandoori delights, along with Indo-Chinese combos.
All the items are delicious with great taste and servvd hot. …",A2B
Adyar+Ananda+Bhavan+ +A2B,"I liked food here, we ordered fried rice, gobi manchurian watermelon juice and in desserts jamun and rasmalai, it was good.",A2B
Adyar+Ananda+Bhavan+ +A2B,The place is not at all maintained…There is a broken glass that hasn’t been replaced and an overflowing trash can that hasn’t been attended to. You also cannot tip the employees and the food quantity is VERY VERY LESS like for a ₹90 Pongal you get a small cup of portion….the panned butter masala is extremely sweet…Dissapointed.,A2B
Adyar+Ananda+Bhavan+ +A2B,"Mr.Saravana served me Kothu Parotta, which I tried first in my life and it was awsm…",A2B
Adyar+Ananda+Bhavan+ +A2B,"Gobi manchurian poor quality chef dont know what it is, too much sauce and salt and preservatives, too noisy atmosphere, same glove worn by waiters infact they touch lot of places and food too with glove, bare hand allows them …",A2B
Adyar+Ananda+Bhavan+ +A2B,Wonderful menu and freshness of food 🥘 my son enjoyed eating their homemade sweet kolukattai …,A2B
Adyar+Ananda+Bhavan+ +A2B,"The quantity of pongal was very less. For the mini tiffin- 165rs, the coffee was not provided. The quantity and quality of breakfast has become 😞 bad and not worth for money. …",A2B
Adyar+Ananda+Bhavan+ +A2B,"If you want to eat pure veg in tamilnadu then this place is for you. Very supportive staff and most importantly very fast service they provide. And food is also very delicious...
Must try this place.",A2B
Adyar+Ananda+Bhavan+ +A2B,"Food is sour , not worth money 135 dosa full sour taste , idly was better . Not visiting again",A2B
Adyar+Ananda+Bhavan+ +A2B,"The food is good. They serve everything hot and fresh. We sat at table 16 the waiter assigned Ms Amruta varshini was very swift with her service and asked us about our specifications, didn't make us wait too long.",A2B
Adyar+Ananda+Bhavan+ +A2B,"The meals taste very good. I ordered through Swiggy and the price was around ₹150, which is totally worth it. You must try the mushroom biryani as well. For takeaway orders, it takes some time to prepare, so be ready to wait.",A2B
Adyar+Ananda+Bhavan+ +A2B,"Wide range of traditional indian sweets and savories.
Attending staff at sweet counter were very helpful.
The staff went extra mile to pack the sweet boxes securely when she realized that i am bringing it back to my home country",A2B
Adyar+Ananda+Bhavan+ +A2B,"Rating: 4 / 5
📍 Key Review Points:
📌 Location: …",A2B
Adyar+Ananda+Bhavan+ +A2B,"Had a great lunch at the restaurant. All the dishes tasted good. Personally had the south Indian meals.
Parking available maybe for 6-7 cars in the front, so a little congested during …",A2B
