branch,review,restaurant
SRI ANNAPOORANA Pure Veg,"Our Chennai to Bengaluru bus stopped here for lunch and it was a pretty good break spot. The restaurant was clean, spacious, and nicely air-conditioned. The food was decent but the prices were a little on the higher side. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"It is a pretty decent restaurant on the highway. We ordered onion pakoda and it was great. Tea was good as well. The service staff were nice too. overall the environment was pretty decent. We cannot speak for the other food options though. Restrooms are Ok, not that great, but I guess that is fine for a high way place.",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Very poor experience. The food quality was low class and not at all worth the price. Service was careless and unprofessional. Overall, a complete waste of money. Will not recommend this place to anyone. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"📌Great vegetarian restaurant with great types of quality affordable food for breakfast, lunch,&  dinner.
📌You can find both North & South India food items along with desserts & juices …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"I was surprised after having dinner that thebplace had a low rating on Google. As on 23 Dec 2025, the restaurant has fabulous food and food variety of fruit juices on offer. My kid enjoyed the big sofas and there were quite a few handicraft …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Good place to take a break on the highway.
Food was good however the place needs a little cleaning as there were lots of flies in the dining area. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"This restaurant is conveniently located on the main road. If you’re coming from the opposite side, you can easily take a U-turn via the service road. It is right next to a large charging station (suitable even for trucks), making it an …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Sri Annapurna pure veg

Nice hotel with cute ambience and mainly the  Annapurna Devi idol it's …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"We reached the restaurant at 5 pm, during our journey from Chennai to Bangalore. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Tried the mini tiffin with optimism. Thought at least one item might redeem the others. Truly inspiring consistency from the restaurant. Every single item managed to disappoint equally. Reached a point where keeping anything in my mouth felt like a personal challenge.,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Worst hotels seen in my whole travel experience till date. I really don't want to suggest people to give a stop here for any B.L.D . They serve the food which is not worth for the money . I literally paid 200/- for 1 masala dosa. Yes you …,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,The worst experience here. If you see bathroom you will puke. No AC in ac room. We had food in burning hot room. No ventilation is there because it is AC room. Taste is ok ok. Rates are high. If you want to use restrooms then don't go here,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Recently visistes Annapurna hotel near vellore ambur highway.  Pure vegetarian restaurant with both North and South Indian menu on the cart.
North India as well as South Indian meals thali available. It's a unlimited …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Service was Really appreciatable, but we are paying for food not service.. The foods are with less Quality and Quantity.. A Paneer fried rice costs 200rs, but quantity is half and tasts really bad and it was just ""pepper fried rice"".. I was …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"During a recent trip, my brother and I stopped by Annapoorna Pure Vegetarian Restaurant located conveniently near the Vellore-Ambur highway. We decided to try their popular Mini Tiffin for breakfast and it truly lived up to the hype. Every …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Taste is so average, Service was not good. After breakfast, we ordered another item and coffee, but we literally waited for long with empty plates and received no response. The quantity of side dishes was also insufficient, and if you needed more, you had to wait again.",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,It's a decent hotel in the highways stretch and the service could be improved as there are too many staff but not so responsive. Ambience could be improved as the a/c room looks normal with flies around. Food and taste is decent but too …,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Went there for lunch while coming back from vellore to Bangalore on NH48. Perfect place to have South Indian meal in Tamil Nadu style…. Very tasty meal… price is quite reasonable… will must recommend this place for South Indian food….. …,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Excellent place to charge you EV nearby. They have a ev charge zone near by,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,This hotel doesn’t deserve not even one star rating..very bad quality food  maintained by staff…took pani puri but very bad smell…and also rates are also very high masala dosa is 170 and one chapati it is 40 rs tooo high price… I strongly …,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Not good  behaviour by the servers .their approach and conveying nature was not good . No menu card.we have to ask them what's the price of each item served  Food not as expected. Chola Puri half baked. Paper roast was good. Chilli idly too much oil. Have to improve their standards.,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"I'm writing this based on my visit on Oct 4th, 2025. The service was horrible, you had to keep calling for someone to come and take order. We ordered mini tiffin, it was in the range of 160 per person. Never have I had such a bland food in …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,No taste in food... Meals is 180 but even rice is not good for taste... Quantity for gobi 65 is low... Not recommended,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Overall good place, if you are there before 10 am you get a wide spread. If it's beyond this time different varieties of dosas are available.
Juices are also available. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Good restaurant on the highway with decent choice of items. Good decor and friendly staff. Though we were quite late for lunch time, staff somehow managed to serve us whatever we needed. Clean Toilets and generally hygienic atmosphere and …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Worst service..untidy tables. Rude staff. Total disappointment. The staff have to be courteous and well trained. When i ask for the menu, he says only mini tiffin and dosa..when youvhsve poori and other stuff on mini tiffin even that available right?",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"The restaurant is ok. They have served a mini tiffin and podi masala dosa. Both were just ok.
Coffee was good.. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Very clean veg restaurant. The food is good and less oily unlike typical high places. The toilets were super clean. The staff is good but few waiters know only Tamil and was bit funny when we asked for spoons and forks and she turned up …,Sree Annapoorna
SRI ANNAPOORANA Pure Veg,"Food tastes good.
We went for Breakfast.
Nothing disappointed. …",Sree Annapoorna
SRI ANNAPOORANA Pure Veg,Food quality fairly ok. Good ambience enough parking space,Sree Annapoorna
