Branch,review,Restaurant
T. Nagar,"A2B. Adyar Ananda Bhavan. Pondy bazaar. T. Nagar. A2B outlets are always promising, serve multi-cuisine and offer  minimum guarantee  in terms of quality and hygiene. This outlet is always crowded, yet the service is quick and dishes tasty. They have live chat stations and an array of snacks and sweets display to buy from. Parking 1* Reception 2* Ambience 3* Choice of menu 5* Service and hospitality 4* Taste and flavour 5* Value for money 4* Ghee dosai. Onion rava. Milk shakes. Bhel puri. 777 INR total. Good for quick family dining.",A2B - Adyar Ananda Bhavan
T. Nagar,"thumb-up-fill NEGATIVE worst food i ever tasted... 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Abhigna 0 reviews 0 Followers Follow 3 star-fill DINING Jan 19, 2023 I have  received  a   panner  fried rice  instead of  panner  Tikka  pls  ensure this is not repeated   again  😑 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Priya Newton 0 reviews 3 Followers Follow 1 star-fill DINING Feb 27, 2022 thumb-up-fill NEGATIVE experience Such a worse restaurant , no proper communication and they ignore your requests. Worst experience of my lifetime ! Hate it literally",A2B - Adyar Ananda Bhavan
T. Nagar,"thumb-up-fill NEGATIVE staff late food delivery food delivery A2B did not deliver half my order...Pathetic experience..despite asking the delivery person, 1/2 my items were missing .. 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share 1 2 3 4 5 chevron-right Related to A2B - Adyar Ananda Bhavan, T. Nagar Restaurants in Chennai, Chennai Restaurants , T. Nagar restaurants , Best T. Nagar restaurants , Central Chennai restaurants , Casual Dining in Chennai , Casual Dining near me , Casual Dining in T. Nagar , Sweet Shop in Chennai , Sweet Shop near me , Sweet Shop in T. Nagar , A2B - Adyar Ananda Bhavan Menu , Order food online in T. Nagar , Order food online in Chennai , New Year Parties in Chennai , Christmas' Special in Chennai Restaurants around T. Nagar Anna Salai restaurants , Teynampet restaurants , Alwarpet restaurants , Nandanam restaurants Frequent searches leading to this page 1 , adyar ananda bhavan pondy bazaar , a2b pondy bazaar , adyar ananda bhavan laddu price , a2b t nagar Top Stores Mogappair , Ashok Nagar , Pallavaram , Tiruvottiyur , Kanathur , Koyambedu , Ambattur , Park Town , Vandalur , Neelangarai Select Country India UAE India chevron-down Select Language language-globe English chevron-down About Zomato Who We Are Blog Work With Us Investor Relations Report Fraud Press Kit Contact Us Zomaverse Zomato Blinkit District Feeding India Hyperpure Zomato Live Zomaland Weather Union For Restaurants Partner With Us Apps For You Learn More Privacy Security Terms Social links twitter-circle By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2026 © Zomato™ Ltd. All rights reserved. Opening Hours Mon-Sun: 7am – 10pm call +914423453041 call 18001036363 cross",A2B - Adyar Ananda Bhavan
T. Nagar,"Yesterday I visited the A2B vegetarian restaurant with my family. We had fabulous authentic South Indian foods and had a great time in this veg restaurant. Especially South Indian recipes Ghee roast dosa, Idiyappam, and Bengali sweets are so yummy,  and still, now I feel like mouth watering.",A2B - Adyar Ananda Bhavan
T. Nagar,"Not worth for what you pay very high cost for normal dishes, using north indian spices and ingredients for south indian dishes may irritate you and disturb ur health",A2B - Adyar Ananda Bhavan
T. Nagar,"I really wondering, if you're looking at the reviews for A2B I can't help you then This review is about the outlet and I don't really have much to say because may it be the food, from idly to vada phav, it's really good. Service could be improved apart from that I really don't have much to say !!!",A2B - Adyar Ananda Bhavan
T. Nagar,A2B is great in taste n quality. All their sweets n tiffin n meals are good but over priced i feel. Went there by morning 9.15 they said only dosa n idly available....so soon breakfast is out of stock,A2B - Adyar Ananda Bhavan
T. Nagar,"Taste,packaging,vfm can never go wrong when it is A2B.As the place was quite crowded i had to take away them.Everything seemed normal regarding the spice",A2B - Adyar Ananda Bhavan
T. Nagar,thumb-up-fill NEGATIVE behavior,A2B - Adyar Ananda Bhavan
T. Nagar,The quality and the quantity was really worst when compared to other outlets. A2B is best known for it's quantity but it was compromised in this outlet. And there were ants in the coffee and hair in dhai chat. Will suggest to go for other nearby restaurants if you never compromise with food.,A2B - Adyar Ananda Bhavan
T. Nagar,Very worst experience n they took more than 1 and half hour to disclose food to deliver. And also most of the foods r missed... money waste,A2B - Adyar Ananda Bhavan
T. Nagar,thumb-up-fill NEGATIVE food poisoning,A2B - Adyar Ananda Bhavan
T. Nagar,"thumb-up-fill POSITIVE staff vegetarian best south indian food The best South Indian food we’ve had outside of India. Great veg thali, love the mini tiffin, which has idli, dosai, pongal, chutney and Sam Harris, and lots more. Service is friendly and very fast. A real gem!",A2B - Adyar Ananda Bhavan
T. Nagar,"thumb-up-fill NEGATIVE prices keep going up lazy shopkeepers bad crowd Worst management there is no proper restaurant manager, expecting the waiters to do a managerial activity is ridiculous,it's no more my preferred place.a table of 4 has just 2 people and the other 2 chairs are occupied by bags.this is a pattern with 4 tables.absolutely nuisance.",A2B - Adyar Ananda Bhavan
T. Nagar,"thumb-up-fill POSITIVE good for families very clean place gift baskets available family crowd parking space available One the best breakfast place in Chennai for South Indian dishes, very clean n hygiene way served to the customers.. the dosa/ vada/ hot Pongal with sambar",A2B - Adyar Ananda Bhavan
T. Nagar,thumb-up-fill POSITIVE masala poori,A2B - Adyar Ananda Bhavan
T. Nagar,thumb-up-fill POSITIVE papadam thumb-up-fill NEGATIVE paneer chilli Post our office meeting we stoped by the Ananda Bhavan for lunch. A well known veg thali restaurant. Good food but quantity is too less. And too much of rice. We tried paneer chilly as side but the paneer was little chewee. Had to change the taste with a strong fliter coffee. Good place for a quick meal.,A2B - Adyar Ananda Bhavan
T. Nagar,thumb-up-fill POSITIVE healthy food,A2B - Adyar Ananda Bhavan
T. Nagar,"A clean tidy place at this locality, crowded on weekends, service can be improved looks like very less manpower,the food was OK, we ordered the northindian thali, it was just OK, taste can be improved, price was affordable but still not worth the food,,, have to improve in many aspects... Can do better",A2B - Adyar Ananda Bhavan
T. Nagar,If you are looking for some South Indian grub this is the v place to visit in Chennai. It is a chain with outlets located all around the city. Visited this one at T. Nayar for lunch. Went for the promised fine dine experience. Ordered the South Indian thali and sambhar rice. The fare was OK.. Could not understand the fine dine part though. This is an inexpensive joint to visit when in a hurry as the quality is standard... Service is quick... And the place reasonably clean,A2B - Adyar Ananda Bhavan
T. Nagar,Cheese sandwich was good but aaloo chat was not much...potato was chilled...service is good .. ambience is good and clean....only not satisfied with aaloo chat...,A2B - Adyar Ananda Bhavan
T. Nagar,"This place is like my family's go to place for breakfast, dinner or just the pre/mid/post shopping food destination at pondy bazaar. The place is pretty much crowded all the time but its fast moving so getting a table won't be hard. The food is great, especially the tiffin menu. Gotta love their chats too (dahi papdi be my favourite) The service here is fast! Special mention to Mr.Vaidyanathan, one of the best at A2B. The prices here are nominal!!! So do check it out if you haven't yet😜!!",A2B - Adyar Ananda Bhavan
Adyar,Bought chandrakala it was stale. waste of money. The restaurant has very poor service.,A2B - Adyar Ananda Bhavan
Adyar,"Today, I visited A2B melayanambakkam, bought onion Pakodas and Chandrakala, both the products were stale and old , i thought the quality was a good choice, which was second  to the top sweets outlets. But it is so unfortunate to see A2B sweets quality have deteriorated. Awful quality, I think i will stop my patronage to Adyar Ananda Bhavan, i threw the pakodas, sweets alone i have  uploaded the picture of chandrakala. This is not the first time I have experienced this..A2B is letting down its loyal customers. I don't know if the Company has ears... Any ways that's my honest review.",A2B - Adyar Ananda Bhavan
Adyar,"0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Samrat Banerjee 0 reviews 0 Followers Follow 5 star-fill DINING Jun 04, 2023 pretty nice good 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Irene Roy 0 reviews 1 Followers Follow 1 star-fill DINING Feb 10, 2023 thumb-up-fill NEGATIVE uncooked food delivered 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share 1 2 3 4 5 chevron-right Related to A2B - Adyar Ananda Bhavan, Adyar Restaurants in Chennai, Chennai Restaurants , Adyar restaurants , Best Adyar restaurants , South Chennai restaurants , Casual Dining in Chennai , Casual Dining near me , Casual Dining in Adyar , Sweet Shop in Chennai , Sweet Shop near me , Sweet Shop in Adyar , A2B - Adyar Ananda Bhavan Menu , Order food online in Adyar , Order food online in Chennai , New Year Parties in Chennai , Christmas' Special in Chennai Restaurants around Adyar Besant Nagar restaurants , Kotturpuram restaurants , RA Puram restaurants , MRC Nagar restaurants Frequent searches leading to this page adyar ananda bhavan , 1 , adyar ananda bhavan menu , adyar ananda bhavan chennai tamil nadu , a2b Top Stores Mogappair , Ashok Nagar , Pallavaram , Tiruvottiyur , Kanathur , Koyambedu , Ambattur , Park Town , Vandalur , Neelangarai Select Country India UAE India chevron-down Select Language language-globe English chevron-down About Zomato Who We Are Blog Work With Us Investor Relations Report Fraud Press Kit Contact Us Zomaverse Zomato Blinkit District Feeding India Hyperpure Zomato Live Zomaland Weather Union For Restaurants Partner With Us Apps For You Learn More Privacy Security Terms Social links twitter-circle By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2026 © Zomato™ Ltd. All rights reserved. Opening Hours Mon-Sun: 12midnight – 2am, 7am – 12midnight call +914423453045 call 18001036363 cross",A2B - Adyar Ananda Bhavan
Adyar,"they will always think why the fuck South India people are coming here (for kind information it's in Tamilnadu only), If you are an north India, this is the best place for you. They will always give first preference to you guys.",A2B - Adyar Ananda Bhavan
Adyar,"one of d worst experience in Chennai. even for dosa and idly, they miss the coconut chutney. even the roadside shop will be excellent. please understand you are not doing any charity worst ghee roast I have never tasted like this. Ban all the North Indian working there",A2B - Adyar Ananda Bhavan
Adyar,"This A2B outlet is located at LB road, Adyar. I went to this place for lunch and ordered mini meals. Mini meals was good but I have to try other items to be precise about taste. Ambience of this place was decent and service was quick.",A2B - Adyar Ananda Bhavan
Adyar,"Best place for South Indian variety of foods, ambience is good. If someone would like to have South Indian meals during lunch then A2B would be one of the best in Adyar.there is car parking area for the customers.Staff are courteous but couldn’t maintain the attention with all so you will feel like unattended , especially if the restaurant is full, which might be due to limited number of staffs .",A2B - Adyar Ananda Bhavan
Adyar,Had Sambar idli and Strawberry milkshake. Sambar idli was not hot and there is no salt in sambar. Strawberry milkshake was not cold and too much sugar.,A2B - Adyar Ananda Bhavan
Adyar,thumb-up-fill POSITIVE good quality taste waiter environment south indian food The south Indian variety was very good.the ambience was good.the waiter Kalika Devi did an excellent job made us feel at home.,A2B - Adyar Ananda Bhavan
