Branch,review,Restaurant
Ulundurpet Highway,"Very disappointed with the food and service at Annapoorna Hotel, Ulundurpet Highway. I ordered Veg Noodles and Mushroom Fried Rice, but they served oily Paneer Veg Noodles and normal Veg Fried Rice instead. Also, the rice was not properly cooked. The taste was not worth the money at all. There was no menu card available, so customers could not check the food prices before ordering. For just these two items, the bill was ₹461, which felt too expensive for the quality and quantity provided. The hotel really needs improvement in food quality, order accuracy, pricing transparency, and customer service. Totally Review 0.8/10",Annapoorna
Ulundurpet Highway,"Located at Ulundurpettai Highways. Amazing food, good service. Everything was delicious Perfect place to go with family.",Annapoorna
Not specified,Hi.iam visited hotel annapoorna.good food quality but very very worst service.Their are more much of talking with ladies..but very worst service .here anybody's don't go for the hotel . worst  service and service very poor that ladies or very worst .if I ordered one food but she is give another waries food.i complaint one person that I don't know.but he not any action.i think bad experience.😔,Annapoorna
Not specified,The food was not so good as other padmavathi hotels. You can find the good food just outside the restaurant,Annapoorna
"GST Road, Kathipara Junction",This restaurant is located right on GST near kathipara junction. the price is reasonable and food is not bad.,Annapoorna
Not specified,"A good place for vegetarian food, when you are looking for a vegetarian option in the area. Good service, family friendly, reasonably priced and well located",Annapoorna
Not specified,This place is great for vegetarians and has wonderful options to breakfast. South Indian food at its best!,Annapoorna
St Thomas Mount,"Located on the H.W , opposite to H.I.E.T , St Thomas Mount , this is one of the famous eateries which offer snacks as well as food for dining . There do exist A/C as well as non-A/c sitting areas and the food offered is quite delicious and value for money . Ultra fast service is appreciated. One can have South Indian foods like masala Dosa , uttappam , idli , etc or Thali . Reasonable cost , delicious food , fast service , neat environment makes it more attractive.",Annapoorna
Guindy,"Quincy is not exactly a place known for good restaurants except those at high end. Annapoorna is an exception. It is crowded but well managed and food is clean and tasty. Of course, it is value for money though the service has considerable room for improvement",Annapoorna
Guindy,"It is not a fancy hotel by any stretch but for a good South Indian breakfast in the Guindy area, this was our favorite. Kids loved the Ghee Roast and the Pongal was another favorite.",Annapoorna
Not specified,"It was really at home when you take food here. whenever I go or come from airport I make it a point to have my food here. It is almost like eating at home, especially a south indian hime. The service and the treatment was also very good which makes me to write this.",Annapoorna
