Branch,review,Restaurant
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"""Had a delightful breakfast at Sangeetha, Adyar. The flavors were authentic, the food was fresh and delicious — a perfect start to the day - highly recommended for anyone who loves a good South Indian breakfast..",Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Delicious cuisine and the finest hotel in Chennai. Excellent service is offered at the hotel. Everyone should visit Sangeetha Hotel for a meal.,Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Vegetarian chain known for quick service. Food is dependable and the price reasonable. Can get really crowded during peak times.,Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"We had to take a quick bite and so stopped at this restaurant. Food is of good quality with authentic taste. Service is quick. Restaurant is overpriced though, even though it is outside the airport.",Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,In south and you dont tey this place will be an incomplete visit.The items are served heated to the core and really awsome and worth and remembered every moment,Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"Sangeetha Dosai and Kara chuttney is becoming a brand for themselves, its time they  brand these offerings...  Would love to listen to some good classical music along at the restaurant... Apt message at the entrance on how one should behave in public... great going Sangeetha...!!! Can look at offering car service for better social distancing and hygiene though... Look forward to the same kick started...!!!",Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"After day long shopping our family went to the restaurant around 8.00 pm last Saturday. The restaurant was over crowded and we had to wait for about 20 minutes to get our seats. While we were waiting outside , we heard some good cine songs. We thought  it was being played on a music system. Imagine our surprise , when we found two singers ( one male and one  female) crooning those melodies. It is quite uncommon to have live music in mid range restaurants in Chennai. The singers , particularly the male, were good singers. The food too was top class. We had a truly enjoyable experience. I learnt that live music is arranged on Thursday and Saturday nights only at the A/C dining hall. If you have not been there, I suggest you try it .You will not be disappointed.",Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Great food and excellent service by staff. Really friendly staff and quick service. Best veg food and hygienic too.,Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha is a famous chain restaurant in Chennai. I had vegetarian thali here which was served with many South Indian dishes. Nice taste.,Sangeetha
Restaurant_Review-g304556-d1118328-Reviews-Sangeetha_Gandhi_Nagar-Chennai_Madras_Chennai_District_Tamil_Nadu.html,This review is  about the branch of Sangeetha restaurant located at the domestic departure terminal of Chennai Airport... OK that we do get good hot vegetarian Food from this restaurant..But cost of food is very much on the higher side. Since this is located outside the Airport we thought that  cost of dishes may not be that much high when compared to the Food available inside the Airport... However our presumption went wrong.. Prices are very much on the higher side. For eg: One  Dosa cost Rs. 161.90 one Ghee Idly Sambar costs Rs.190.48 The price mentioned above excludes GST. Hope the Hotel Management will look into this and reduce their cost price.,Sangeetha
