Branch,review,Restaurant
Chennai,"We visited this restaurant as a group of 16 people, and every single one of us was 100% satisfied with the experience. It’s truly a must-try place for authentic South Indian food. The dishes were served fresh, flavorful, and perfectly prepared — you can really taste the quality in every bite. The staff were exceptionally polite, welcoming, and attentive throughout our visit. Even with a large group, the service was smooth and well-coordinated, and our orders were handled efficiently without any delays. The ambiance is comfortable and family-friendly, making it a great place for group gatherings as well. From the taste of the food to the hospitality and overall atmosphere, everything exceeded our expectations. We would definitely recommend this place to anyone looking for genuine South Indian cuisine and a wonderful dining experience.",SaravanaBhavan
Chennai,Vadapalani branch Chennai Hotel atmosphere and cleanliness v.poor ..... Maintanence v v poor .... it's not like in Mylapore branch,SaravanaBhavan
Chennai,Stupid guys . I ordered for rava roast and I got and found that its mixture of some company . Very worst . Once it was nice and now even pig will not eat,SaravanaBhavan
Chennai,"Start the day with excellent filter cofee and have crispy dosas,fresh soft idly and vadas to your best taste.The sambhar smell fills the entire restaurant and delights with the aroms.",SaravanaBhavan
Chennai,We ordered 4 dosa and 4 vada and 4 coffee to my astonishment the bill was more than Rs.5000/- and the food tasted awful. It's daylight robbery.,SaravanaBhavan
Chennai,"HSB is one best vegetarian restaurant in the world……simply mouth watering foods……so delicious to have……..Idli,Dosa and Pongal are my favourite choices apart from tea and coffee……enjoyed well😊",SaravanaBhavan
Chennai,At Ashok Nagar branch food and hospitality is good. Some how both are lagging at Egmore branch. Need to improve. Need to improve food quality,SaravanaBhavan
Chennai,"amazing amazing food ghee dosai, kaima idli, idiyappam veg kuruma & thali are the best here, great price & budget friendly",SaravanaBhavan
Chennai,"went to Alandur Branch of theirs @ 7 PM Ordered Pongal Vadai ; Plain dosa The pongal was not hot ; the vadai was cold and when asked the waiter was cool about it ... The Batter was stale i guess as the DOSA was sour as well as the mint chutney . when asked there was no answer. This in 1990's and till 2010 was heaven for good and hot food .... Its standard atleast in many outlets in chennai has fallen down to the lowest level that streetcart food is desirable....sad experience , must avoid",SaravanaBhavan
Chennai,"I had been to Saravana Bhavan's different outlets in various places. I had two dosais each costing ₹85 in their new Saligramam outlet and was impressed by the taste and service. Today I went for takeaway for my family's breakfast and ordered among other things 5 medhu vadais. Each costs about ₹48 Inc of GST but the vadais were hard and tasteless.  Sizewise too not that big. Despite being so costly, they are very stingy when it comes to size dish. My advice to people is to avoid medhu vadais as it will stop you from going to the hotel next time. Even idlies are not that satisfactory. Saravana hotel's cooking is centralised and so the taste and quality are same everywhere.",SaravanaBhavan
Chennai,My experience with Saravana Bhavan this time was a better one than my earlier experience which was a nightmare. The management seem to have learnt their lessons and are taking damage control steps to mitigate thier tailspin. This restaurant is next to the Anna Nagar Tower Metro station. The only issue with this branch is that they dont have a cark park at all. The street parking is the only option and eventually you may get your parking with the help of the watchman. The restaurant is an average one. The food and service has improved leaps and bounds. The food too has improved a lot. The costing is still higher than almost all restaurant of similar standards. The place is large and can easily hold 100 customers. Will i go back to the same restaurant ? Yes !  I would.,SaravanaBhavan
Chennai,Channelling the glory of the chola dynasty one of the greatest and longtest ruling martitime dynasties in the history of southern india this is itc hotel flagship property in the region boasting 522 rooms,SaravanaBhavan
Chennai,"In morning usually there are many options for brunch, great in taste and comfortable ambiance , great",SaravanaBhavan
