Branch,review,Restaurant
Mylapore,"Trusted the brand name and had their veg biriyani. It wasn't cooked properly, probably old biriyani was  re heated. Very overpriced for it's quality. Quantity was good but was almost uncomsumable. Giving 2 stars as I faced no other issues with service. 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share KISHORE S S 0 reviews 2 Followers Follow 5 star-fill DINING Jul 01, 2023 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share KISHORE S S 0 reviews 2 Followers Follow 5 star-fill DINING Jun 26, 2023 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share GANESH NATRAJ 0 reviews 0 Followers Follow 5 star-fill DINING Jun 11, 2023",Namma Veedu Vasanta Bhavan
Mylapore,"0 Votes for helpful , 0 Comments thumb-up Helpful chat Comment share Share 1 2 3 4 chevron-right Related to Namma Veedu Vasanta Bhavan, Mylapore Restaurants in Chennai, Chennai Restaurants , Mylapore restaurants , Best Mylapore restaurants , Central Chennai restaurants , Quick Bites in Chennai , Quick Bites near me , Quick Bites in Mylapore , in Chennai , near me , in Mylapore , in Chennai , near me , in Mylapore , Namma Veedu Vasanta Bhavan Menu , Order food online in Mylapore , Order food online in Chennai , New Year Parties in Chennai , Christmas' Special in Chennai Restaurants around Mylapore Santhome restaurants , Abhiramapuram restaurants , Royapettah restaurants , Mandaveli restaurants Frequent searches leading to this page namma veedu vasanta bhavan menu , namma veedu vasanta bhavan mylapore menu , namma veedu vasanta bhavan chennai , namma veedu vasanta bhavan chennai menu , namma veedu vasanta bhavan  restaurant Top Stores Medavakkam , Velachery Select Country India UAE India chevron-down Select Language language-globe English chevron-down About Zomato Who We Are Blog Work With Us Investor Relations Report Fraud Press Kit Contact Us Zomaverse Zomato Blinkit District Feeding India Hyperpure Zomato Live Zomaland Weather Union For Restaurants Partner With Us Apps For You Learn More Privacy Security Terms Social links twitter-circle By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2026 © Zomato™ Ltd. All rights reserved. Opening Hours Mon-Sun: 6:30am – 10:30pm cross",Namma Veedu Vasanta Bhavan
Mylapore,thumb-up-fill NEGATIVE cutlery experience,Namma Veedu Vasanta Bhavan
Mylapore,thumb-up-fill POSITIVE big restaurant thumb-up-fill NEGATIVE cold food served price vs portion size un... Vasanta bhavan is well known place but definitely falls short of expectations by a mile. I had Kara kuzhi paniyaram. It was cold (definitely not fresh) and tasted okay. The sambar was hot and had a good taste. The three chutneys were okay okay. Definitely need to improve a lot.,Namma Veedu Vasanta Bhavan
Mylapore,thumb-up-fill POSITIVE spacious interiors customer service,Namma Veedu Vasanta Bhavan
Mylapore,Items are not given as in the menu especially meals guys pls check and but don't go for online payment,Namma Veedu Vasanta Bhavan
Mylapore,I ordered dosa but I got poori ..and packing also very bad... everything splited out.. highly disappointed,Namma Veedu Vasanta Bhavan
Mylapore,thumb-up-fill NEGATIVE experience Very worst service. V ordered mushroom biriyani.They have parcelled the morning food and delivered us at night. Every thing was spoiled. Wasted my money here. The food went to garbage. Please do not order anything from this hotel.,Namma Veedu Vasanta Bhavan
Mylapore,"thumb-up-fill POSITIVE rice sambar Their meals are just ok only.. Quality of poriyal, kootu are average only.. Service is on the slower side.. Need to improve",Namma Veedu Vasanta Bhavan
Mylapore,thumb-up-fill NEGATIVE quantity packing experience,Namma Veedu Vasanta Bhavan
Mylapore,thumb-up-fill NEGATIVE food quality is worse,Namma Veedu Vasanta Bhavan
Vadapalani,Vasantha Bhavan food inside forum mall food court to be inspected by FSSI. Plastic plate are not washed properly before serving also they do not maintain a hygeine in food served to customers.,Namma Veedu Vasanta Bhavan
Chromepet,"Mr.Anto & Mr.Deepak provided good service 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Sanjay Guntoorkar 0 reviews 0 Followers Follow 5 star-fill DINING Jan 14, 2025 Mr Ramkumar has given Best Service",Namma Veedu Vasanta Bhavan
Chromepet,"Very worst service I had just now Never visit this place No response and respect for women as well as men also 1 Helpful vote , 1 Comment thumb-up Helpful chat Comment share Share Karan N 0 reviews 3 Followers Follow 5 star-fill DINING Aug 18, 2023 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share Shanmugapriya 0 reviews 0 Followers Follow 2 star-fill DINING Aug 15, 2023 0 Votes for helpful , 1 Comment thumb-up Helpful chat Comment share Share 1 2 3 4 5 chevron-right Related to Namma Veedu Vasanta Bhavan, Chromepet Restaurants in Chennai, Chennai Restaurants , Chromepet restaurants , Best Chromepet restaurants , South Chennai restaurants , Casual Dining in Chennai , Casual Dining near me , Casual Dining in Chromepet , in Chennai , near me , in Chromepet , Namma Veedu Vasanta Bhavan Menu , Order food online in Chromepet , Order food online in Chennai , New Year Parties in Chennai , Christmas' Special in Chennai Restaurants around Chromepet Pallavaram restaurants , Tambaram restaurants , Selaiyur restaurants , Thirumudivakkam restaurants Frequent searches leading to this page 1 , vasantha bhavan chromepet , namma veedu vasantha bhavan chromepet , vasantha bhavan chrompet , vasantha bhavan chromepet party hall Top Stores Medavakkam , Mylapore , Velachery Select Country India UAE India chevron-down Select Language language-globe English chevron-down About Zomato Who We Are Blog Work With Us Investor Relations Report Fraud Press Kit Contact Us Zomaverse Zomato Blinkit District Feeding India Hyperpure Zomato Live Zomaland Weather Union For Restaurants Partner With Us Apps For You Learn More Privacy Security Terms Social links twitter-circle By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2026 © Zomato™ Ltd. All rights reserved. Opening Hours Mon-Sun: 6:30am – 11pm cross",Namma Veedu Vasanta Bhavan
Chromepet,thumb-up-fill POSITIVE food taste manager,Namma Veedu Vasanta Bhavan
Chromepet,thumb-up-fill POSITIVE experience,Namma Veedu Vasanta Bhavan
Chromepet,thumb-up-fill POSITIVE interior thumb-up-fill NEGATIVE ac section,Namma Veedu Vasanta Bhavan
Chromepet,"In all honesty, the restaurant has gone through a major upgrade from interiors to food to every other factor. The ambience gives away the feel of a fine dining, and the food tastes absolutely authentic and amazing. My order for the day was: a mini tiffin - the quantity was more than enough, and costed just about 150 bucks. Highly recommend if you're anywhere around chrompet looking for a 'nice place to eat'.",Namma Veedu Vasanta Bhavan
