Branch,review,Restaurant
Ashok Nagar,restricted menu for dinner not even a proper meal,Hotel Saravana Bhavan
Ashok Nagar,"we waited for 30 mins, no one attended and when we asked the manager to atleast give water bottle first, they said they won't. I was appalled and had to walk out and go to Sangeetha.",Hotel Saravana Bhavan
Ashok Nagar,"On a Saturday evening around 8.45-9 PM, they couldn’t handle a nominal rush.. service is too too bad.. half of the items are not available.. overall it looked they have mindset of taking minimal orders.. food wise there was no harm and everything was good and tasty..",Hotel Saravana Bhavan
Ashok Nagar,"0 Votes for helpful , 0 Comments thumb-up Helpful chat Comment share Share Preetish 0 reviews 0 Followers Follow 1 star-fill DINING Feb 23, 2023 thumb-up-fill NEGATIVE experience",Hotel Saravana Bhavan
Ashok Nagar,Ambiance 7/10 Food 9/10 Value for money 9/10 Overall 8.3/10 One of the largest delicious South Indian vegetarian restaurant 🏨chain in the world located near ashok pillar delicious taste & quality with a pleasing ambience in a fairly busy location and we had 14 mini idli:- They are 14 mini idlis 🍛dunked in steaming hot delicious tiffin sambar. The porous soft idlis absorb the sambar and ghee is sprinkled at the top🍯. The tastes was so amazing. Chutney can be obtain on request 👍🏽 Dosa:- There are so many varieties of dosai🍥 and I opted for plain dosa🥞. They are then drizzled with oil and made into a crisp dosa which is served with 3 types of chutney and... read more,Hotel Saravana Bhavan
Ashok Nagar,Worst Customer service. They asked us to wait for 20mins even to order the food. That also in a very rude way. Saravana Bhavan indeed lost it's standards.,Hotel Saravana Bhavan
Ashok Nagar,"Ordered chilli paneer gravy. It tasted so bad that they didn't even add proper salt to it. Had to add salt to it, and consumed a little more and the gravy taste was obnoxious, with too much of oil. Further, paneer was not properly chopped and each slice of paneer looked like the different sized building blocks like in the cartoon show 'Bob the builder'. I actually ordered via uber eats, I gave one star there, and to quench my frustration further, I am here to review in Zomato too. I had a similar terrible experience with Vadapalani Saravana Bhavan too a year back. This is the hotel chain, which was revered a decade back for its top notch quality, now they don't even give a damn that they... read more",Hotel Saravana Bhavan
Ashok Nagar,this place sucks.people don't get fooled.they charge you high and don't serve properly also if it is a special occasion they dump unsold goods on us and also don't inform you about special dishes available,Hotel Saravana Bhavan
Ashok Nagar,Zomato should have negative rating options for restaurants like this. My rating is -5 !! By far worst experience ever !! Please close the restaurant !!,Hotel Saravana Bhavan
Ashok Nagar,thumb-up-fill POSITIVE cleanliness,Hotel Saravana Bhavan
Ashok Nagar,thumb-up-fill POSITIVE potato masala Saravana bavan is one of my favourite for all-time ♥️,Hotel Saravana Bhavan
Ashok Nagar,thumb-up-fill NEGATIVE price vs portion size un... portions vs price,Hotel Saravana Bhavan
Ashok Nagar,thumb-up-fill NEGATIVE price vs portion size un...,Hotel Saravana Bhavan
Ashok Nagar,"thumb-up-fill NEGATIVE expired food expired item Don’t delete my review zomato I warn you , they have given worst expired food to us saravana Bhavan is the worst hotel in the world giving expired food...people please don’t eat here.",Hotel Saravana Bhavan
Ashok Nagar,"thumb-up-fill NEGATIVE price vs portion size un... When all hotels are giving 550gms of good quality rice like Bhagya, Ganesh Bhavan, Lalitha Bhavan, you are giving only 250gms . I am cheated today as it was insufficient for me. Call 9003010792 for further query",Hotel Saravana Bhavan
Ashok Nagar,Nothing could be compared with idly immersed in piping hot sambar. Look at the ghee floating above sambar Taste-5/5 Quantity-4/5 Ambience-3/5 Service-3/5 Price-4/5,Hotel Saravana Bhavan
Ashok Nagar,Probably the worst experience ever.. Service is incredibly poor.. Would have given an even lower rating if possible.. Servers turn a deaf ear when called for.. They even skipped a few items that were mentioned in the meals menu.,Hotel Saravana Bhavan
Ashok Nagar,Be polite and friendly. I like it very much. Lunch also too good to eat.#like_it #love_it #repeat_it 😍😍. I like the place very much.and love the lunch.,Hotel Saravana Bhavan
Ashok Nagar,"Had a not so great experience in very popular Saravana Bhavan, may be managed by people who are not so keen in proper customer service. When I visited with family for a tea-snacks break. Entire place was shabby, water leaking from Air Conditioner duct. Person who attended us I think is forced into job. My first ever bad experience in a very well know south indian restaurant chain: Saravana Bhavan",Hotel Saravana Bhavan
Ashok Nagar,"So Saravana Bhavan goes a long way back for me. We used to visit it back in Dubai and visiting it in Chennai gave me loads of memories to ponder upon. The Sambhar Vada was awesome, as the Sambhar had perfect thickness and right flavor to it. Though I was a little disappointed with the Parota Dosa Combo as the curry was cold and rice felt like it had been kept outside for ages. Though the bill was extremely affordable. Finally if you go down, they have the best filter coffee and butter cookie combo which is awesome to taste after a good round of meal. Overall a good experience and a must visit if you are new to Chennai and want to try some authentic South Indian dishes.",Hotel Saravana Bhavan
Ashok Nagar,"Sunday after we finished lunch suddenly one of friend came he wanted to have sambhar rice.. So I decided to order from saravana bhavan and to my surprise the packing was amazing with papad, pickle, poriyal, sambhar, rice... My friend enjoyed it to the core... Amazing packing... Delicious taste... Thanks to saravana bhavan for amazing offers..",Hotel Saravana Bhavan
Ashok Nagar,"There is no option for 0 stars, that is why I am giving 1 star. I ordered food 45 minutes before and the status still is ""food is being prepared"". Very bad time practice",Hotel Saravana Bhavan
Egmore,"Pls don’t visit this restaurant. Rude staff, waiters can’t even understand basic stuff and are very disrespectful. Horrible food. Masala dosa, instead of masala, they have served a hard undercooked potato and are arguing with the customer.",Hotel Saravana Bhavan
Egmore,thumb-up-fill NEGATIVE portions Is this sample given to customer or is this the breakfast protion given to eat as breakfast. Wat kind of service is this... For business sake is this the way Saravana bhavan cheats customers? Ridiculous.. pathetic... Very disappointed.. not at all happy with Saravana bhavan.. brand name is not a matter.  Service matters .. worst,Hotel Saravana Bhavan
Egmore,thumb-up-fill NEGATIVE online delivery,Hotel Saravana Bhavan
Egmore,"thumb-up-fill POSITIVE filtered coffee relaxed atmosphere delivery person thumb-up-fill NEGATIVE hygiene 1 Helpful vote , 0 Comments thumb-up Helpful chat Comment share Share Akshank 0 reviews 13 Followers Follow 5 star-fill DINING Dec 22, 2020 thumb-up-fill POSITIVE sambhar sambar vadai",Hotel Saravana Bhavan
Egmore,"Ordered Super set lunch combo which says (soup salad ice cream etc) what I received is 1 chapathi, little biryani & 2 curries. That's it. I paid 150 rs for this combo which is not even worth of 50 rs lunch. We tried calling to restaurant and no body received. Even after complaining to zomato they didn't received the phone. Not worth to money, quality and taste. Totally waste. NOt sure how come they have branches all over world :-(",Hotel Saravana Bhavan
Egmore,Saravana Bhavan is must visit for food lovers who visit chennai. Their pongal is very delicious. This particular branch ranks low on hygiene and cleanliness. The staff though was friendly and warm.,Hotel Saravana Bhavan
