Branch,Reviews,Restaurant,Review_Date
Geetham Veg Restaurant,A place to go for quality food and great taste. The wait could be long during dinner times. Patrons need to scan a QR code to get a token number and wait in the queue outside the resturant. Patrons need to key in the number of pax and if …,Geetham,2026-03-22
Geetham Veg Restaurant,"The meals was very satisfying. All the vegetables were cooked perfectly, and the overall taste was well balanced.
The sambar was especially outstanding and truly flavorful. Highly recommended …",Geetham,2026-06-07
Geetham Veg Restaurant,"I recently visited Githam Restaurant in Chennai, and it was quite an experience! The place is extremely crowded, which clearly shows how popular it is. It’s a pure vegetarian restaurant, especially famous for its authentic South Indian …",Geetham,2026-03-12
Geetham Veg Restaurant,"The food is degrading from before.
Ordered mysore masala - masala combination is raw and bitter. Restaurant replaced with Satha Rava Dosai but served Rava dosa filled with ghee and it’s again not …",Geetham,2025-12-24
Geetham Veg Restaurant,"Geetham Food maintains good standards when it comes to food quality, holding its own among similar vegetarian restaurant chains. …",Geetham,2026-03-26
Geetham Veg Restaurant,I came here with family for a quick tea time. The service was good. The staffs were friendly and helpful. The food was also good at a reasonable price. Probably they need to focus more on the cleanliness.,Geetham,2026-02-19
Geetham Veg Restaurant,"Quite attracted by the heavy decorative colorful lights, we stopped over for dinner. Luckily, we were quite early and got our table almost immediately. Otherwise, this place attracts so many people and one has to wait on a long Q to get a …",Geetham,2025-12-30
Geetham Veg Restaurant,"This place doesn't worth the hype of reviews. While the service here is quick , the taste of the food is average and the high price tag doesn't justify the Tate or the atmosphere. Ambience is noisy and lacks the fine edge. Overall a good place for quick bite if you are hungry. However do not expect much",Geetham,2026-03-22
Geetham Veg Restaurant,"Best vegetarian restaurant chain with AC. It can be very crowded during peak hours with minimum waiting for 5 minutes, for a single person. You may have to join strangers of the seating is full, so be prepared to share some space! …",Geetham,2026-04-10
Geetham Veg Restaurant,"Place is very well visible from a distance or while you are driving. Road side parking. I ordered Idly, Ghee Paper Dosa & Sambar vadai. First thing they served me 2 vadai instead of 1. Food delivery was instant. I liked the sambar vadai and Ghee Paper Dosai.",Geetham,2026-02-22
Geetham Veg Restaurant,"After shopping at t nagar deceided to have a evening snacks at geetham restaurant.We had a vara, bonda and Chettinad mini tiffin.The Chettinad mini tiffin was good.And we had a coffee which was very average this time.I didn't expect an …",Geetham,2026-03-07
Geetham Veg Restaurant,This was recommended to me by a local and reviews also back up that claim. Must visit. …,Geetham,2026-04-05
Geetham Veg Restaurant,Please be aware of the pricing. Have attached the bill for reference and two sweet lime juices costed 360 rupees which was lesser than the 2 set of poori. 1 kg fruit itself will cost 60 rupees only. I was so shocked to see this utter …,Geetham,2026-03-19
Geetham Veg Restaurant,"It was worth trying at this Geetham outlet. The wait time is something you should plan and consider while visiting.
The food was good. Service was good as well. Worthy spend.",Geetham,2026-03-23
Geetham Veg Restaurant,Horrendous experience. Please do not visit if you are walking in as a single customer. They have a funny system where you have to see your waiting number to get a seat. People who want 2 seats and 4 seats gets preferred. You may have to …,Geetham,2026-05-10
Geetham Veg Restaurant,"Place is always crowded and staffs are working to manage the crowd. But inefficient waiters and irresponsible staff make many customer get agitated. Communication towards the customer is very bad and awful. We went today for dinner, 16th …",Geetham,2026-04-19
Geetham Veg Restaurant,This place is super crowded always so much so that they have a token system always and they also serve juice to the people who wait. …,Geetham,2026-05-08
Geetham Veg Restaurant,"Hotel Ambience offers a pleasant dining experience. The service was good and quick. Tried their mini tiffin — it’s definitely value for money with a decent variety. The taste was okay overall, and the rava dosa was just fine. A good option for a simple, budget-friendly meal",Geetham,2026-01-31
Geetham Veg Restaurant,"Finding a quality restaurant in the busy Koyambedu area is one thing, but finding one with ample parking is a game-changer. They have dedicated space for both cars and two-wheelers, making it incredibly convenient for locals and travelers …",Geetham,2025-12-11
Geetham Veg Restaurant,Service is very poor. We asked to filter the coffee and she brought the same coffee. I asked for sweet the waiter told me something coconut milk turned to be rice Kanji. I noticed he was promoting it to other customer as well. Never coming back there are other good restaurant nearby. With great good.,Geetham,2026-03-07
Geetham Veg Restaurant,"After seeing hype in insta and reels recently, We ordered for onam sadhya one day in advance as dine in slot completed two days before we opted for takeaway at Anna nagar outlet. Totally disappointed with food they …",Geetham,2026-05-16
