branch,review,restaurant
"Chennai, 358-510 Mkn Rd (Tripadvisor listing)",https://www.tripadvisor.com/Restaurant_Review-g304556-d8734870-Reviews-Hotel_Sri_Annapoorna_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Hotel Saravana Bhavan
Adyar,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-adyar,A2B (Adyar Ananda Bhavan)
T Nagar,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-1-t-nagar,A2B (Adyar Ananda Bhavan)
Triplicane,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-triplicane,A2B (Adyar Ananda Bhavan)
GST Road,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-gst-road,A2B (Adyar Ananda Bhavan)
Avadi,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-avadi,A2B (Adyar Ananda Bhavan)
Potheri,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-potheri,A2B (Adyar Ananda Bhavan)
General listing,https://www.zomato.com/chennai/restaurants/a2b-adyar-ananda-bhavan,A2B (Adyar Ananda Bhavan)
user review (IN),https://www.tripadvisor.in/ShowUserReviews-g304556-d5997348-r501267491-Adyar_Ananda_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,A2B (Adyar Ananda Bhavan)
reviews (IN),https://www.tripadvisor.in/Restaurant_Review-g304556-d10483566-Reviews-A2B_Adyar_Anandha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,A2B (Adyar Ananda Bhavan)
reviews (.com),https://www.tripadvisor.com/Restaurant_Review-g304556-d5897521-Reviews-Adyar_Ananda_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,A2B (Adyar Ananda Bhavan)
"reviews (duplicate, IN)",https://www.tripadvisor.in/Restaurant_Review-g304556-d10483566-Reviews-A2B_Adyar_Anandha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,A2B (Adyar Ananda Bhavan)
reviews,https://www.tripadvisor.com/Restaurant_Review-g304556-d8409941-Reviews-Adyar_Ananda_Bhavan_A2B_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,A2B (Adyar Ananda Bhavan)
"user review (duplicate, IN)",https://www.tripadvisor.in/ShowUserReviews-g304556-d5997348-r501267491-Adyar_Ananda_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,A2B (Adyar Ananda Bhavan)
General listing,https://www.zomato.com/chennai/restaurants/sangeetha-veg-restaurant,Sangeetha Veg Restaurant
Santhome,https://www.zomato.com/chennai/sangeetha-veg-restaurant-santhome,Sangeetha Veg Restaurant
Thousand Lights,https://www.zomato.com/chennai/sangeetha-veg-restaurant-thousand-lights,Sangeetha Veg Restaurant
T Nagar,https://www.zomato.com/chennai/sangeetha-veg-restaurant-t-nagar,Sangeetha Veg Restaurant
Adyar,https://www.zomato.com/chennai/sangeetha-veg-restaurant-adyar,Sangeetha Veg Restaurant
reviews (1),https://www.tripadvisor.com/Restaurant_Review-g304556-d5993544-Reviews-Sangeetha_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
reviews (2),https://www.tripadvisor.com/Restaurant_Review-g304556-d3534743-Reviews-Sangeetha_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
reviews,https://www.tripadvisor.com/Restaurant_Review-g304556-d5909728-Reviews-Sangeetha_Vegetarian_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
reviews (3),https://www.tripadvisor.com/Restaurant_Review-g304556-d8425523-Reviews-Sangeetha_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
reviews (4),https://www.tripadvisor.com/Restaurant_Review-g304556-d8426674-Reviews-Sangeetha_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
reviews (5),https://www.tripadvisor.com/Restaurant_Review-g304556-d7814319-Reviews-Sangeetha_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
reviews (6),https://www.tripadvisor.com/Restaurant_Review-g304556-d7375680-Reviews-Sangeetha_Veg_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sangeetha Veg Restaurant
Semmancheri,https://www.zomato.com/chennai/chennai-sri-annapoorna-semmancheri,Sri Annapoorna
Tambaram,https://www.zomato.com/chennai/sri-annapoorna-tambaram,Sri Annapoorna
Madipakkam,https://www.zomato.com/chennai/sri-annapoorna-madipakkam,Sri Annapoorna
Adambakkam,https://www.zomato.com/chennai/sree-annapoorna-cafe-adambakkam,Sri Annapoorna
reviews,https://www.tripadvisor.com/Restaurant_Review-g304556-d8734870-Reviews-Hotel_Sri_Annapoorna_Restaurant-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sri Annapoorna
reviews,https://www.tripadvisor.com/Restaurant_Review-g304556-d7941570-Reviews-Namma_Veedu_Vasanta_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Sri Annapoorna
All Chennai restaurants,https://www.tripadvisor.com/Restaurants-g304556-Chennai_Madras_Chennai_District_Tamil_Nadu.html,General / City-wide
All Chennai restaurants (duplicate),https://www.tripadvisor.com/Restaurants-g304556-Chennai_Madras_Chennai_District_Tamil_Nadu.html,General / City-wide
