branch,review,restaurant,Review_Date,source_file,review_text,predicted_issue_category,confidence,issue_cluster,chain,emotion,emotion_conf,urgency_score,escalate
Adyar+Ananda+Bhavan+ +A2B,"adyar ananda bhavan in gandhipuram is offering authentic vegetarian south indian classics, north indian, and tandoori delights, along with indo-chinese combos. all the items are delicious with great taste and servvd hot. …",A2B,2026-01-26,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"adyar ananda bhavan in gandhipuram is offering authentic vegetarian south indian classics, north indian, and tandoori delights, along with indo-chinese combos. all the items are delicious with great taste and servvd hot. …",Food Quantity & Value for Money,0.64,3,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"i liked food here, we ordered fried rice, gobi manchurian watermelon juice and in desserts jamun and rasmalai, it was good.",A2B,2026-04-28,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"i liked food here, we ordered fried rice, gobi manchurian watermelon juice and in desserts jamun and rasmalai, it was good.",Service Quality,0.3866666666666667,36,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,the place is not at all maintained…there is a broken glass that hasn’t been replaced and an overflowing trash can that hasn’t been attended to. you also cannot tip the employees and the food quantity is very very less like for a ₹90 pongal you get a small cup of portion….the panned butter masala is extremely sweet…dissapointed.,A2B,2026-01-15,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,the place is not at all maintained…there is a broken glass that hasn’t been replaced and an overflowing trash can that hasn’t been attended to. you also cannot tip the employees and the food quantity is very very less like for a ₹90 pongal you get a small cup of portion….the panned butter masala is extremely sweet…dissapointed.,Food Quantity & Value for Money,0.6166666666666667,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"mr.saravana served me kothu parotta, which i tried first in my life and it was awsm…",A2B,2026-05-18,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"mr.saravana served me kothu parotta, which i tried first in my life and it was awsm…",Service Quality,0.4066666666666667,44,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"gobi manchurian poor quality chef dont know what it is, too much sauce and salt and preservatives, too noisy atmosphere, same glove worn by waiters infact they touch lot of places and food too with glove, bare hand allows them …",A2B,2025-12-18,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"gobi manchurian poor quality chef dont know what it is, too much sauce and salt and preservatives, too noisy atmosphere, same glove worn by waiters infact they touch lot of places and food too with glove, bare hand allows them …",Poor Experience & Food Hygiene Complaints,0.2666666666666667,36,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,wonderful menu and freshness of food 🥘 my son enjoyed eating their homemade sweet kolukattai …,A2B,2026-03-18,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,wonderful menu and freshness of food 🥘 my son enjoyed eating their homemade sweet kolukattai …,Food Variety & Fast Service,0.3,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"the quantity of pongal was very less. for the mini tiffin- 165rs, the coffee was not provided. the quantity and quality of breakfast has become 😞 bad and not worth for money. …",A2B,2026-05-05,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"the quantity of pongal was very less. for the mini tiffin- 165rs, the coffee was not provided. the quantity and quality of breakfast has become 😞 bad and not worth for money. …",Food Quantity & Value for Money,0.8933333333333333,40,A2B,betrayal,heuristic,3,False
Adyar+Ananda+Bhavan+ +A2B,if you want to eat pure veg in tamilnadu then this place is for you. very supportive staff and most importantly very fast service they provide. and food is also very delicious... must try this place.,A2B,2026-01-26,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,if you want to eat pure veg in tamilnadu then this place is for you. very supportive staff and most importantly very fast service they provide. and food is also very delicious... must try this place.,Slow Service & Staff Negligence,0.3466666666666667,15,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"food is sour , not worth money 135 dosa full sour taste , idly was better . not visiting again",A2B,2026-04-19,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"food is sour , not worth money 135 dosa full sour taste , idly was better . not visiting again",Service Quality,0.2366666666666667,38,A2B,betrayal,heuristic,3,False
Adyar+Ananda+Bhavan+ +A2B,"the food is good. they serve everything hot and fresh. we sat at table 16 the waiter assigned ms amruta varshini was very swift with her service and asked us about our specifications, didn't make us wait too long.",A2B,2026-05-06,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"the food is good. they serve everything hot and fresh. we sat at table 16 the waiter assigned ms amruta varshini was very swift with her service and asked us about our specifications, didn't make us wait too long.",Food Quantity & Value for Money,0.6766666666666666,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"the meals taste very good. i ordered through swiggy and the price was around ₹150, which is totally worth it. you must try the mushroom biryani as well. for takeaway orders, it takes some time to prepare, so be ready to wait.",A2B,2026-05-10,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"the meals taste very good. i ordered through swiggy and the price was around ₹150, which is totally worth it. you must try the mushroom biryani as well. for takeaway orders, it takes some time to prepare, so be ready to wait.",Food Quantity & Value for Money,0.77,36,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,wide range of traditional indian sweets and savories. attending staff at sweet counter were very helpful. the staff went extra mile to pack the sweet boxes securely when she realized that i am bringing it back to my home country,A2B,2026-02-01,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,wide range of traditional indian sweets and savories. attending staff at sweet counter were very helpful. the staff went extra mile to pack the sweet boxes securely when she realized that i am bringing it back to my home country,Cleanliness & Restroom Hygiene,0.3166666666666667,11,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,rating: 4 / 5 📍 key review points: 📌 location: …,A2B,2026-04-08,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,rating: 4 / 5 📍 key review points: 📌 location: …,Food Variety & Fast Service,0.25,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"had a great lunch at the restaurant. all the dishes tasted good. personally had the south indian meals. parking available maybe for 6-7 cars in the front, so a little congested during …",A2B,2026-05-19,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"had a great lunch at the restaurant. all the dishes tasted good. personally had the south indian meals. parking available maybe for 6-7 cars in the front, so a little congested during …",Parking & Accessibility,0.44,34,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"""the dosa served to me appeared to be made from overly sour batter. the taste and smell were unpleasant, and i was unable to finish the meal. i was disappointed with the food quality and hope the restaurant pays more attention to freshness and quality control.""",A2B,2026-05-10,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"""the dosa served to me appeared to be made from overly sour batter. the taste and smell were unpleasant, and i was unable to finish the meal. i was disappointed with the food quality and hope the restaurant pays more attention to freshness and quality control.""",Food Quantity & Value for Money,0.7166666666666667,38,A2B,disappointment,heuristic,1,False
Adyar+Ananda+Bhavan+ +A2B,"# a2b gandhipuram: a disappointing decline once a culinary highlight in gandhipuram, a2b has sadly fallen from grace. the …",A2B,2026-04-04,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"# a2b gandhipuram: a disappointing decline once a culinary highlight in gandhipuram, a2b has sadly fallen from grace. the …",Food Quantity & Value for Money,0.6533333333333333,2,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,food and ambience was good. fully ac dining area. washroom and toilet was outside. …,A2B,2026-02-22,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,food and ambience was good. fully ac dining area. washroom and toilet was outside. …,Ambience & Seating,0.56,59,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"good atmosphere and quality food.the other main highlight of this outlet is its opens on 6:30 am, where you can’t find any other vegetarian option in this locality.neat and clean premises.congested wash area is the only negative find there.",A2B,2026-04-01,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"good atmosphere and quality food.the other main highlight of this outlet is its opens on 6:30 am, where you can’t find any other vegetarian option in this locality.neat and clean premises.congested wash area is the only negative find there.",Food Quantity & Value for Money,0.6266666666666667,6,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"i visited the adyar ananda bhavan outlet in gandhipuram last night.the quantity and quality of the food were reasonably good, but the prices were on the higher side. however, the service style and the staff's demeanor were somewhat …",A2B,2026-05-22,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"i visited the adyar ananda bhavan outlet in gandhipuram last night.the quantity and quality of the food were reasonably good, but the prices were on the higher side. however, the service style and the staff's demeanor were somewhat …",Food Quantity & Value for Money,0.4466666666666667,3,A2B,neutral,heuristic,0,False
