issue_cluster,dominant_emotion,dominant_emotion_pct
0,neutral,89.8
53,neutral,82.6
10,neutral,82.4
9,neutral,80.0
31,neutral,78.8
46,neutral,77.8
48,neutral,76.9
11,neutral,75.0
54,neutral,73.2
41,neutral,72.4
36,neutral,72.1
12,neutral,71.7
2,neutral,71.4
42,neutral,71.2
52,neutral,70.7
49,neutral,70.6
38,neutral,69.2
60,neutral,69.2
24,delight,68.4
17,neutral,68.4
27,neutral,68.3
30,neutral,67.4
59,neutral,66.7
25,neutral,66.0
14,neutral,66.0
-1,neutral,64.6
37,neutral,64.1
1,neutral,64.0
43,neutral,63.7
40,neutral,62.7
5,neutral,62.5
21,neutral,61.9
34,neutral,61.5
18,neutral,61.5
15,neutral,61.3
57,neutral,60.9
13,neutral,60.7
6,neutral,60.2
55,neutral,60.0
32,neutral,59.0
7,neutral,58.5
26,neutral,58.2
47,neutral,57.5
44,neutral,57.4
8,neutral,57.1
19,neutral,56.9
58,neutral,56.5
56,delight,56.5
4,neutral,56.4
22,delight,56.2
39,neutral,55.6
50,neutral,55.6
16,neutral,55.6
20,neutral,55.0
3,neutral,54.1
45,neutral,53.1
28,neutral,52.7
51,neutral,50.0
29,delight,50.0
23,delight,50.0
33,neutral,48.1
35,neutral,41.2
