issue_cluster,betrayal,delight,disappointment,frustration,neutral,nostalgia,relief
-1,28,402,79,78,1080,5,1
50,15,9,7,127,202,0,3
44,0,122,1,1,167,0,0
36,17,40,11,5,189,0,0
34,1,67,5,8,134,0,3
2,3,23,11,14,130,0,1
26,0,59,6,5,99,0,1
27,1,30,2,3,86,2,2
48,0,18,4,5,90,0,0
6,0,37,5,3,68,0,0
59,1,25,4,4,70,0,1
38,2,16,9,5,72,0,0
14,1,27,4,1,64,0,0
30,2,25,2,2,64,0,0
37,1,16,10,4,59,1,1
43,7,3,6,17,58,0,0
46,7,5,4,1,63,1,0
40,2,17,3,3,42,0,0
32,0,23,1,1,36,0,0
0,0,3,1,2,53,0,0
41,0,13,2,0,42,1,0
52,1,16,0,0,41,0,0
17,0,15,2,1,39,0,0
28,0,26,0,0,29,0,0
7,0,18,1,3,31,0,0
42,1,8,3,3,37,0,0
19,0,16,1,4,29,1,0
25,0,16,0,1,33,0,0
12,0,9,1,3,33,0,0
54,0,11,0,0,30,0,0
47,0,16,0,1,23,0,0
4,0,14,2,1,22,0,0
3,0,13,1,1,20,2,0
51,9,0,5,2,17,1,0
31,0,4,2,1,26,0,0
45,1,6,4,1,17,2,1
11,1,3,2,2,24,0,0
15,0,10,1,1,19,0,0
13,0,11,0,0,17,0,0
8,0,9,1,1,16,0,1
33,1,9,4,0,13,0,0
23,0,13,0,1,12,0,0
60,0,7,0,1,18,0,0
18,0,9,0,1,16,0,0
1,0,8,0,1,16,0,0
58,0,9,0,1,13,0,0
57,0,9,0,0,14,0,0
56,0,13,1,0,9,0,0
53,0,2,1,1,19,0,0
21,0,8,0,0,13,0,0
20,0,9,0,0,11,0,0
55,0,8,0,0,12,0,0
24,0,13,0,1,5,0,0
16,0,7,0,0,10,0,1
29,0,9,1,0,8,0,0
39,0,6,0,2,10,0,0
35,1,4,3,1,7,0,1
10,3,0,0,0,14,0,0
49,2,1,1,0,12,1,0
5,0,5,0,0,10,1,0
22,0,9,0,1,6,0,0
9,0,1,1,1,12,0,0
