issue_cluster,betrayal,delight,disappointment,frustration,neutral,nostalgia,relief
-1,1.7,24.0,4.7,4.7,64.6,0.3,0.1
50,4.1,2.5,1.9,35.0,55.6,0.0,0.8
44,0.0,41.9,0.3,0.3,57.4,0.0,0.0
36,6.5,15.3,4.2,1.9,72.1,0.0,0.0
34,0.5,30.7,2.3,3.7,61.5,0.0,1.4
2,1.6,12.6,6.0,7.7,71.4,0.0,0.5
26,0.0,34.7,3.5,2.9,58.2,0.0,0.6
27,0.8,23.8,1.6,2.4,68.3,1.6,1.6
48,0.0,15.4,3.4,4.3,76.9,0.0,0.0
6,0.0,32.7,4.4,2.7,60.2,0.0,0.0
59,1.0,23.8,3.8,3.8,66.7,0.0,1.0
38,1.9,15.4,8.7,4.8,69.2,0.0,0.0
14,1.0,27.8,4.1,1.0,66.0,0.0,0.0
30,2.1,26.3,2.1,2.1,67.4,0.0,0.0
37,1.1,17.4,10.9,4.3,64.1,1.1,1.1
43,7.7,3.3,6.6,18.7,63.7,0.0,0.0
46,8.6,6.2,4.9,1.2,77.8,1.2,0.0
40,3.0,25.4,4.5,4.5,62.7,0.0,0.0
32,0.0,37.7,1.6,1.6,59.0,0.0,0.0
0,0.0,5.1,1.7,3.4,89.8,0.0,0.0
41,0.0,22.4,3.4,0.0,72.4,1.7,0.0
52,1.7,27.6,0.0,0.0,70.7,0.0,0.0
17,0.0,26.3,3.5,1.8,68.4,0.0,0.0
28,0.0,47.3,0.0,0.0,52.7,0.0,0.0
7,0.0,34.0,1.9,5.7,58.5,0.0,0.0
42,1.9,15.4,5.8,5.8,71.2,0.0,0.0
19,0.0,31.4,2.0,7.8,56.9,2.0,0.0
25,0.0,32.0,0.0,2.0,66.0,0.0,0.0
12,0.0,19.6,2.2,6.5,71.7,0.0,0.0
54,0.0,26.8,0.0,0.0,73.2,0.0,0.0
47,0.0,40.0,0.0,2.5,57.5,0.0,0.0
4,0.0,35.9,5.1,2.6,56.4,0.0,0.0
3,0.0,35.1,2.7,2.7,54.1,5.4,0.0
51,26.5,0.0,14.7,5.9,50.0,2.9,0.0
31,0.0,12.1,6.1,3.0,78.8,0.0,0.0
45,3.1,18.8,12.5,3.1,53.1,6.2,3.1
11,3.1,9.4,6.2,6.2,75.0,0.0,0.0
15,0.0,32.3,3.2,3.2,61.3,0.0,0.0
13,0.0,39.3,0.0,0.0,60.7,0.0,0.0
8,0.0,32.1,3.6,3.6,57.1,0.0,3.6
33,3.7,33.3,14.8,0.0,48.1,0.0,0.0
23,0.0,50.0,0.0,3.8,46.2,0.0,0.0
60,0.0,26.9,0.0,3.8,69.2,0.0,0.0
18,0.0,34.6,0.0,3.8,61.5,0.0,0.0
1,0.0,32.0,0.0,4.0,64.0,0.0,0.0
58,0.0,39.1,0.0,4.3,56.5,0.0,0.0
57,0.0,39.1,0.0,0.0,60.9,0.0,0.0
56,0.0,56.5,4.3,0.0,39.1,0.0,0.0
53,0.0,8.7,4.3,4.3,82.6,0.0,0.0
21,0.0,38.1,0.0,0.0,61.9,0.0,0.0
20,0.0,45.0,0.0,0.0,55.0,0.0,0.0
55,0.0,40.0,0.0,0.0,60.0,0.0,0.0
24,0.0,68.4,0.0,5.3,26.3,0.0,0.0
16,0.0,38.9,0.0,0.0,55.6,0.0,5.6
29,0.0,50.0,5.6,0.0,44.4,0.0,0.0
39,0.0,33.3,0.0,11.1,55.6,0.0,0.0
35,5.9,23.5,17.6,5.9,41.2,0.0,5.9
10,17.6,0.0,0.0,0.0,82.4,0.0,0.0
49,11.8,5.9,5.9,0.0,70.6,5.9,0.0
5,0.0,31.2,0.0,0.0,62.5,6.2,0.0
22,0.0,56.2,0.0,6.2,37.5,0.0,0.0
9,0.0,6.7,6.7,6.7,80.0,0.0,0.0
