cluster,restaurant,branch,review_text,rating,distance_to_centroid
0,A2B,Mylapore,"thumb-up-fill negative pani puri platter 0 votes for helpful , 1 comment thumb-up helpful chat comment share share savia pereira 0 reviews 29 followers follow 4 star-fill dining jul 31, 2022 thumb-up-fill positive customer service price sambar quality seating arrangement management very affordable thumb-up-fill negative staff hygiene meals sweets 0 votes for helpful , 1 comment thumb-up helpful chat comment share share nancy maya 0 reviews 1 followers follow 5 star-fill dining nov 06, 2019 thumb-up-fill positive young crowd parking space available",,0.024837501
0,Saravana Bhavan,Vadapalani,thumb-up-fill negative unhygienic spicy,,0.079058185
0,Geetham,Navallur,"thumb-up-fill positive good and fast service good food, fast service, very respectfully staff. the staff who serviced us mahendran was very good and well mannered",,0.094585024
0,Sree Annapoorna,Chromepet,thumb-up-fill negative too spicy very oily,,0.1011638
0,Namma Veedu Vasanta Bhavan,Anna Nagar East,thumb-up-fill negative chilli parotta paneer chilli parotta,,0.1197543
0,Saravana Bhavan,Vadapalani,thumb-up-fill positive my favorite restaurant,,0.12046278
0,Saravana Bhavan,Santhome,thumb-up-fill positive chilli parotta,,0.1259661
0,A2B,T. Nagar,thumb-up-fill positive papadam thumb-up-fill negative paneer chilli post our office meeting we stoped by the ananda bhavan for lunch. a well known veg thali restaurant. good food but quantity is too less. and too much of rice. we tried paneer chilly as side but the paneer was little chewee. had to change the taste with a strong fliter coffee. good place for a quick meal.,,0.13930249
0,Namma Veedu Vasanta Bhavan,Chromepet,thumb-up-fill positive delivery fast please prefer ms.maheshwari as your delivery person for the quickest delivery to get your food on time.,,0.14098826
0,Geetham,Navallur,"thumb-up-fill positive fresh food good serve with happy face , immediately response by mahendra 🤟thanks for making the dinner good 👍👍",,0.14841966
0,Sangeetha,Velachery,thumb-up-fill positive taste,,0.15251525
0,Saravana Bhavan,Vadapalani,"thumb-up-fill negative price vs portion size un... once i ordered a mini tiffin, which would contain masala dosa,rava kitchadi and 6 mini idlies. and i got 1 idly instead of 6 mini sized ones. that is okay, some how one big idly will make up that quantity. but i got rava kitchadi in a small chutney box, which is just a handfull. and for the price they charge this is absolutely unfair to give such small quantities of food.",,0.1555082
0,A2B,Tambaram,thumb-up-fill negative family restaurant,,0.15712841
0,A2B,Tambaram,thumb-up-fill positive sweets mini tiffin veg,,0.16045107
0,Sree Annapoorna,Alandur,thumb-up-fill negative intrusive staff i couldn't even give 1star for this restaurant due there behavior and disrespectful ..they have set of combos in swiggy pop in that half the items r missing. if we ask them in loud voice they r saying this much olyv can provide and u can complain where ever u want... i had attached the photo of there combo and i got oly 3items in that... i won't recommend any of u to order in this restaurant.. thank you,,0.16359356
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,good service. you will feel like family here. all bengali dishes are available here. room rent not so high.,,0.017250068
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"this restaurant is very good, this restaurant have all type of bengali meal. their foods are very tasty and i'll definitely recommend you to visit and eat here, they also provide quick service and you'll definitely like their service. and the behaviour of the staff is also very nice and formal.",,0.01887012
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,best banggali food available here. they maintain hygiene an quality.,,0.02681168
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,best bengali food to get 🔥 must have a try. ₹50 for rice thali (unlimited) and management and behaviour is also good. and above all its tidy. …,,0.02782812
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"good bengali foods in vellore, rolls and moglai is also available in the evening.",,0.02914537
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,the bengali style food in the region. but the manager is not well behaved man he is rude .but all other stuff are friendly.,,0.03335781
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"authentic bengali food available. prices are quite economical. the quality and quantity of food is also satisfactory. only problem is too much rush, so you probably have to wait and have patience for your food to get served.",,0.036631703
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"you can find most of bengali food.price are reasonable.rice-fish-vegatable -ruti-tarka famous in this hotel.stuffs behave are not good,be aware from before doing any mistake.lot of menus there try to select first then order otherwise they don't change it.",,0.037650958
1,Sree Annapoorna,Shree Annapoorna Mess,good food quality in vellor for bengali peoples. cook and stuff are aslo fromm west bengal,,0.041970327
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,they have very hygienic and clean place to eat. food here is very tasty and healthy. a full bengali menu. …,,0.042659868
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"far from home and bengali culture, you will get native test here as a bangali. that was two year back. but now they know business and how to cheat their …",,0.04333572
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,if you are fan of bengali food this is the place where u want to be. they have excellent food with reasonable price. veg and non veg options. highly recommended.,,0.050317448
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"for an bangladeshi it's the best hotel in vellore. since it's close to cmc, you can visit it just by walking for 5 minutes. there are very varietys of bangladeshi food there, such as different types of vorta,sidol,puri etc. i will definitely recommend it.",,0.05117885
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,it is best bengali hotel near cmc hospital. food isn't that spicy and very much good for people with weak digestion. though the number of items available is small quality of food is good than other restaurant nearby especially better than rimpa hotel. giving 4 stars due to clumsy look of the restaurant.,,0.052211184
1,Sree Annapoorna,ANNAPURNA HOTEL & RESTAURANT,"authentic bengali flavors at their best! this place truly captures the essence of bengali cuisine with its fresh ingredients, perfectly balanced spices, and traditional cooking methods.",,0.052283324
2,Saravana Bhavan,Chennai,"excellent vegetarian fare and reasonable price. good location, near egmore station (kennet lane opp hotel victoria). superb mini breakfast and filter coffee. table service in ac or non ac and courteous service. clean food. carry your own water or buy a sealed water bottle, as a precaution for the location.",,0.029889507
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"it is located exactly opposite to egmore railway station, main place for having good south indian food at nominal money.",,0.030947248
