issue_category,week,review_count,rolling_mean,z_score,rule_flag,iforest_flag,both_flag,outcome_rating_change,issue_category_code,volume,magnitude_z,pct_above_rolling_mean,rule_and_ml_agree,priority_target,predicted_priority_score
Billing & Online Ordering Issues,2026-05-18,6,14.833333333333334,-0.7569883854780565,False,False,False,-0.5276190476190474,1,6,-0.7569883854780565,-0.5955056179775281,0,0.5276190476190474,0.49142757
Cleanliness & Restroom Hygiene,2026-04-06,4,9.833333333333334,-0.4913133655874381,False,False,False,-0.620408163265306,2,4,-0.4913133655874381,-0.5932203389830508,0,0.620408163265306,0.46701235
Billing & Online Ordering Issues,2026-05-25,8,14.833333333333334,-0.5855947887660438,False,False,False,-0.6545153272576636,1,8,-0.5855947887660438,-0.4606741573033708,0,0.6545153272576636,0.46236262
Billing & Online Ordering Issues,2026-06-01,9,14.666666666666666,-0.4819133087584012,False,False,False,-0.35342465753424657,1,9,-0.4819133087584012,-0.38636363636363635,0,0.35342465753424657,0.44041526
Billing & Online Ordering Issues,2026-01-19,8,16.333333333333332,-0.5010030100351265,False,False,False,-0.32378414390406407,1,8,-0.5010030100351265,-0.5102040816326531,0,0.32378414390406407,0.41835427
Food Variety & Fast Service,2026-05-25,13,21.5,-0.5016517475225286,False,False,False,-0.31475300400534034,4,13,-0.5016517475225286,-0.3953488372093023,0,0.31475300400534034,0.37475595
Food Variety & Fast Service,2026-05-11,13,22.0,-0.5417363388859614,False,False,False,-0.46971461852067553,4,13,-0.5417363388859614,-0.4090909090909091,0,0.46971461852067553,0.35050958
Cleanliness & Restroom Hygiene,2026-03-30,6,10.0,-0.33951991873252213,False,False,False,-0.37959183673469377,2,6,-0.33951991873252213,-0.4,0,0.37959183673469377,0.34517992
Poor Experience & Food Hygiene Complaints,2026-04-13,2,2.8333333333333335,-0.4838206248226094,False,False,False,-0.35853658536585353,6,2,-0.4838206248226094,-0.29411764705882354,0,0.35853658536585353,0.3305489
Cleanliness & Restroom Hygiene,2026-03-23,4,10.666666666666666,-0.5736336900829286,False,False,False,-0.45999999999999996,2,4,-0.5736336900829286,-0.625,0,0.45999999999999996,0.32531372
Service Quality,2026-04-27,13,20.0,-0.5083687820523609,False,False,False,-0.48291925465838514,7,13,-0.5083687820523609,-0.35,0,0.48291925465838514,0.31997967
Billing & Online Ordering Issues,2026-07-06,7,13.833333333333334,-0.8181041948568051,False,False,False,-0.4250177683013505,1,7,-0.8181041948568051,-0.49397590361445787,0,0.4250177683013505,0.30906317
Poor Experience & Food Hygiene Complaints,2026-04-06,1,2.8333333333333335,-1.0644053746097406,False,False,False,-0.30952380952380953,6,1,-1.0644053746097406,-0.6470588235294118,0,0.30952380952380953,0.300236
Billing & Online Ordering Issues,2026-07-27,6,13.333333333333334,-0.8164965809277267,False,False,False,-0.12121212121212133,1,6,-0.8164965809277267,-0.55,0,0.12121212121212133,0.29900777
Billing & Online Ordering Issues,2025-11-17,4,6.666666666666667,-0.8667027800348789,False,False,False,-0.32068965517241366,1,4,-0.8667027800348789,-0.4,0,0.32068965517241366,0.2894532
Billing & Online Ordering Issues,2026-07-20,8,14.166666666666666,-0.7361817566203892,False,False,False,-0.3744588744588744,1,8,-0.7361817566203892,-0.4352941176470588,0,0.3744588744588744,0.28509513
Food Variety & Fast Service,2026-05-18,21,22.5,-0.09083405243909494,False,False,False,-0.4157894736842105,4,21,-0.09083405243909494,-0.06666666666666667,0,0.4157894736842105,0.2841946
Poor Experience & Food Hygiene Complaints,2025-09-22,1,3.3333333333333335,-1.3324272283470413,False,False,False,-0.35416666666666674,6,1,-1.3324272283470413,-0.7000000000000001,0,0.35416666666666674,0.2813635
Billing & Online Ordering Issues,2026-02-02,9,15.666666666666666,-0.39513038984679977,False,False,False,-0.26190476190476186,1,9,-0.39513038984679977,-0.425531914893617,0,0.26190476190476186,0.27742544
